id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
LEU_SEV_007,100,6,6,1,0,2.27,49.71
LEU_SEV_007,101,6,6,1,0,4.16,58.05
LEU_SEV_007,102,6,0,0,0,1.55,63.78
LEU_SEV_007,0,0,0,1,1,3.85,95.12
LEU_SEV_007,1,6,6,1,2,0.15,97.49
LEU_SEV_007,2,0,6,0,2,4.19,103.86
LEU_SEV_007,3,6,6,1,3,1.56,107.64
LEU_SEV_007,4,6,6,1,4,0.04,109.87
LEU_SEV_007,5,6,6,1,5,1.52,113.58
LEU_SEV_007,6,0,6,0,5,2.99,118.77
LEU_SEV_007,7,0,6,0,5,3.42,124.4
LEU_SEV_007,8,0,0,1,6,0.94,127.55
LEU_SEV_007,9,0,6,0,6,1.24,130.98
LEU_SEV_007,10,6,6,1,7,2.04,135.25
LEU_SEV_007,11,6,6,1,8,0.81,138.26
LEU_SEV_007,12,0,0,1,9,0.63,141.1
LEU_SEV_007,13,0,6,0,9,0.78,144.09
LEU_SEV_007,14,0,6,0,9,1.1,147.39
LEU_SEV_007,15,6,6,1,10,0.51,150.1
LEU_SEV_007,16,0,6,0,10,1.68,153.96
LEU_SEV_007,17,6,6,1,11,0.44,156.6
LEU_SEV_007,18,6,6,1,12,0.57,159.36
LEU_SEV_007,19,0,0,1,13,3.57,165.13
LEU_SEV_007,20,5,6,0,13,2.49,169.8
LEU_SEV_007,21,6,6,1,14,1.92,173.93
LEU_SEV_007,22,6,6,1,15,1.45,177.56
LEU_SEV_007,23,0,6,0,15,0.58,180.34
LEU_SEV_007,24,0,0,1,16,0.67,183.21
LEU_SEV_007,25,6,6,1,17,0.89,186.28
LEU_SEV_007,26,0,0,1,18,0.57,189.05
LEU_SEV_007,27,0,6,0,18,1.67,192.91
LEU_SEV_007,28,6,6,1,19,0.62,195.73
LEU_SEV_007,29,6,6,1,20,0.45,198.38
LEU_SEV_007,30,0,6,0,20,0.77,201.33
LEU_SEV_007,31,0,0,1,21,1.06,204.59
LEU_SEV_007,32,6,6,1,22,4.27,211.06
LEU_SEV_007,33,0,0,1,23,0.42,213.67
LEU_SEV_007,34,0,0,1,24,1.66,217.56
LEU_SEV_007,35,0,6,0,24,3.17,222.93
LEU_SEV_007,36,6,6,1,25,1.26,226.39
LEU_SEV_007,37,0,0,1,26,0.4,229.01
LEU_SEV_007,38,0,0,1,27,1.63,232.84
LEU_SEV_007,39,0,6,0,27,0.81,235.83
LEU_SEV_007,40,0,0,1,28,0.39,238.42
LEU_SEV_007,41,0,0,1,29,0.5,241.15
LEU_SEV_007,42,5,6,0,29,0.2,243.56
LEU_SEV_007,43,0,6,0,29,2.98,248.74
LEU_SEV_007,44,6,6,1,30,1.42,252.37
LEU_SEV_007,45,0,6,0,30,0.99,255.55
LEU_SEV_007,46,0,6,0,30,0.83,258.57
LEU_SEV_007,47,0,6,0,30,0.45,261.23
LEU_SEV_007,48,0,0,1,31,2.29,265.72
LEU_SEV_007,49,0,0,1,32,2.0,269.91
LEU_SEV_007,50,0,0,1,33,0.2,272.32
LEU_SEV_007,51,6,6,1,34,1.77,276.28
LEU_SEV_007,52,6,6,1,35,1.45,279.91
LEU_SEV_007,53,6,6,1,36,1.48,283.58
LEU_SEV_007,54,6,6,1,37,0.66,286.42
LEU_SEV_007,55,0,6,0,37,0.7,289.31
LEU_SEV_007,56,0,6,0,37,0.18,291.67
LEU_SEV_007,57,6,6,1,38,1.92,295.78
LEU_SEV_007,58,0,6,0,38,0.39,298.37
LEU_SEV_007,59,6,6,1,39,3.65,304.21
LEU_SEV_007,60,0,6,0,39,2.33,308.73
LEU_SEV_007,61,6,6,1,40,0.58,311.49
LEU_SEV_007,62,0,6,0,40,0.6,314.31
LEU_SEV_007,63,6,6,1,41,0.08,316.57
LEU_SEV_007,64,6,6,1,42,1.44,320.2
LEU_SEV_007,65,6,6,1,43,1.19,323.59
LEU_SEV_007,66,0,6,0,43,0.43,326.21
LEU_SEV_007,67,6,0,0,43,1.85,330.25
LEU_SEV_007,68,0,0,1,44,3.4,335.84
LEU_SEV_007,69,6,6,1,45,2.56,340.59
LEU_SEV_007,70,6,6,1,46,0.59,343.37
LEU_SEV_007,71,6,6,1,47,0.45,345.99
LEU_SEV_007,72,6,6,1,48,0.63,348.83
LEU_SEV_007,73,0,0,1,49,2.42,353.43
LEU_SEV_007,74,0,0,1,50,0.14,355.77
LEU_SEV_007,75,6,6,1,51,2.03,359.99
LEU_SEV_007,76,6,6,1,52,2.63,364.81
LEU_SEV_007,77,6,6,1,53,0.85,367.86
LEU_SEV_007,78,6,6,1,54,1.22,371.27
LEU_SEV_007,79,6,6,1,55,1.77,375.24
LEU_SEV_007,80,6,6,1,56,1.53,378.96
LEU_SEV_007,81,0,0,1,57,0.41,381.56
LEU_SEV_007,82,6,6,1,58,1.72,385.47
LEU_SEV_007,83,1,6,0,58,0.7,388.36
LEU_SEV_007,84,0,0,1,59,0.57,391.15
LEU_SEV_007,85,6,6,1,60,0.49,393.86
LEU_SEV_007,86,1,6,0,60,2.53,398.6
LEU_SEV_007,87,6,6,1,61,2.12,402.93
LEU_SEV_007,88,6,6,1,62,2.24,407.37
LEU_SEV_007,89,6,6,1,63,0.44,410.0
LEU_SEV_007,90,6,0,0,63,0.61,412.84
LEU_SEV_007,91,6,6,1,64,-0.0,415.05
LEU_SEV_007,92,0,6,0,64,0.59,417.84
LEU_SEV_007,93,6,6,1,65,1.19,421.22
LEU_SEV_007,94,6,6,1,66,0.78,424.21
LEU_SEV_007,95,6,6,1,67,0.59,427.01
LEU_SEV_007,96,6,6,1,68,0.51,429.71
LEU_SEV_007,97,0,0,1,69,0.5,432.43
LEU_SEV_007,98,0,0,1,70,0.21,434.84
LEU_SEV_007,99,0,6,0,70,0.8,437.84
