id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
LEV_THO_054,100,45,29,29,29,1,common,0,11.23,57.35
LEV_THO_054,101,52,66,52,52,1,common,0,3.96,66.07
LEV_THO_054,102,53,44,44,44,1,common,0,3.5,74.32
LEV_THO_054,0,24,44,24,24,1,common,1,2.66,94.83
LEV_THO_054,1,23,29,29,23,0,common,1,2.81,100.41
LEV_THO_054,2,12,27,12,12,1,common,2,2.02,105.14
LEV_THO_054,3,65,74,65,65,1,common,3,2.33,110.23
LEV_THO_054,4,90,75,75,75,1,common,4,2.96,115.96
LEV_THO_054,5,18,12,18,12,0,common,4,3.82,122.51
LEV_THO_054,6,16,9,9,9,1,common,5,2.35,127.58
LEV_THO_054,7,25,40,25,40,0,common,5,2.83,133.15
LEV_THO_054,8,60,75,60,60,1,common,6,2.67,138.55
LEV_THO_054,9,43,25,25,25,1,common,7,1.37,142.66
LEV_THO_054,10,26,15,15,15,1,common,8,2.35,147.72
LEV_THO_054,11,71,54,54,54,1,common,9,1.68,152.18
LEV_THO_054,12,46,29,29,29,1,common,10,1.88,156.77
LEV_THO_054,13,33,53,33,33,1,common,11,1.47,160.99
LEV_THO_054,14,38,52,38,38,1,common,12,5.01,168.78
LEV_THO_054,15,24,44,24,24,1,common,13,1.84,173.32
LEV_THO_054,16,12,13,13,12,0,common,13,3.02,179.07
LEV_THO_054,17,64,58,64,58,0,common,13,1.79,183.66
LEV_THO_054,18,13,31,13,13,1,common,14,1.48,187.93
LEV_THO_054,19,98,88,88,88,1,common,15,2.62,193.33
LEV_THO_054,20,31,43,31,31,1,common,16,1.39,197.49
LEV_THO_054,21,25,36,25,25,1,common,17,1.39,201.59
LEV_THO_054,22,42,29,29,29,1,common,18,2.96,207.24
LEV_THO_054,23,20,32,20,20,1,common,19,1.69,211.62
LEV_THO_054,24,36,19,19,36,0,common,19,3.53,217.88
LEV_THO_054,25,36,48,36,36,1,common,20,1.08,221.71
LEV_THO_054,26,13,33,13,13,1,common,21,1.76,226.18
LEV_THO_054,27,45,35,35,35,1,common,22,1.66,230.58
LEV_THO_054,28,35,24,24,24,1,common,23,3.25,236.57
LEV_THO_054,29,45,28,28,28,1,common,24,3.38,242.72
LEV_THO_054,30,13,30,13,13,1,common,25,1.23,246.67
LEV_THO_054,31,17,36,36,36,1,common,26,1.3,250.72
LEV_THO_054,32,74,62,62,62,1,common,27,2.21,255.7
LEV_THO_054,33,26,31,26,26,1,common,28,1.67,260.12
LEV_THO_054,34,38,28,28,28,1,common,29,1.73,264.6
LEV_THO_054,35,81,72,81,72,0,common,29,1.19,268.56
LEV_THO_054,36,16,21,16,16,1,common,30,2.81,274.09
LEV_THO_054,37,36,21,36,36,1,common,31,2.79,279.63
LEV_THO_054,38,16,36,16,16,1,common,32,2.13,284.5
LEV_THO_054,39,16,8,8,8,1,common,33,1.25,288.47
LEV_THO_054,40,12,18,12,12,1,common,34,2.74,293.93
LEV_THO_054,41,67,76,67,67,1,common,35,2.79,299.51
LEV_THO_054,42,84,92,92,84,0,common,35,2.77,305.06
LEV_THO_054,43,14,34,14,14,1,common,36,1.1,308.91
LEV_THO_054,44,14,9,9,9,1,common,37,2.05,313.71
LEV_THO_054,45,103,83,103,83,0,common,37,1.89,318.4
LEV_THO_054,46,23,33,33,23,0,common,37,3.08,324.2
LEV_THO_054,47,28,19,28,28,1,common,38,2.34,329.26
LEV_THO_054,48,30,41,30,30,1,common,39,2.1,334.07
LEV_THO_054,49,53,35,35,35,1,common,40,2.15,338.98
LEV_THO_054,50,33,34,33,33,1,pro,41,3.09,344.81
LEV_THO_054,51,81,86,86,81,0,pro,41,1.78,349.37
LEV_THO_054,52,52,33,33,33,1,pro,42,2.27,354.36
LEV_THO_054,53,30,44,30,30,1,pro,43,2.38,359.52
LEV_THO_054,54,35,30,30,30,1,pro,44,2.25,364.47
LEV_THO_054,55,20,52,20,52,0,pro,44,2.41,369.63
LEV_THO_054,56,31,52,31,52,0,pro,44,2.58,374.97
LEV_THO_054,57,24,32,24,24,1,pro,45,2.43,380.16
LEV_THO_054,58,35,60,35,60,0,pro,45,3.67,386.59
LEV_THO_054,59,27,32,32,32,1,pro,46,1.59,390.94
LEV_THO_054,60,20,31,31,20,0,pro,46,3.72,397.38
LEV_THO_054,61,23,29,29,23,0,pro,46,6.86,407.01
LEV_THO_054,62,14,24,24,24,1,pro,47,3.73,413.51
LEV_THO_054,63,32,51,51,32,0,pro,47,4.11,420.38
LEV_THO_054,64,30,11,11,11,1,pro,48,1.05,424.16
LEV_THO_054,65,53,72,53,53,1,pro,49,2.2,429.11
LEV_THO_054,66,51,41,41,41,1,pro,50,1.33,433.19
