id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
LOT_JAV_030,100,29,45,45,29,0,common,0,1.9,64.28
LOT_JAV_030,101,52,66,66,52,0,common,0,2.03,71.06
LOT_JAV_030,102,44,53,44,44,1,common,0,2.35,78.18
LOT_JAV_030,0,24,44,24,24,1,common,1,1.7,99.48
LOT_JAV_030,1,23,29,29,23,0,common,1,1.37,103.6
LOT_JAV_030,2,12,27,12,12,1,common,2,0.97,107.28
LOT_JAV_030,3,74,65,74,65,0,common,2,2.23,112.31
LOT_JAV_030,4,90,75,75,75,1,common,3,1.13,116.24
LOT_JAV_030,5,18,12,12,12,1,common,4,2.21,121.17
LOT_JAV_030,6,9,16,9,9,1,common,5,0.99,124.87
LOT_JAV_030,7,40,25,40,40,1,common,6,1.38,128.99
LOT_JAV_030,8,60,75,60,60,1,common,7,1.03,132.78
LOT_JAV_030,9,43,25,25,25,1,common,8,0.68,136.23
LOT_JAV_030,10,26,15,15,15,1,common,9,1.48,140.43
LOT_JAV_030,11,71,54,54,54,1,common,10,1.27,144.44
LOT_JAV_030,12,46,29,29,29,1,common,11,1.06,148.24
LOT_JAV_030,13,53,33,33,33,1,common,12,1.53,152.51
LOT_JAV_030,14,38,52,38,38,1,common,13,1.09,156.34
LOT_JAV_030,15,44,24,24,24,1,common,14,1.0,160.07
LOT_JAV_030,16,12,13,12,12,1,common,15,0.72,163.54
LOT_JAV_030,17,64,58,58,58,1,common,16,0.99,167.28
LOT_JAV_030,18,31,13,13,13,1,common,17,0.88,170.91
LOT_JAV_030,19,98,88,88,88,1,common,18,1.19,174.87
LOT_JAV_030,20,43,31,31,31,1,common,19,0.88,178.51
LOT_JAV_030,21,25,36,25,25,1,common,20,0.91,182.1
LOT_JAV_030,22,42,29,29,29,1,common,21,0.88,185.72
LOT_JAV_030,23,32,20,20,20,1,common,22,0.91,189.32
LOT_JAV_030,24,19,36,19,36,0,common,22,2.66,194.75
LOT_JAV_030,25,48,36,36,36,1,common,23,0.94,198.47
LOT_JAV_030,26,33,13,13,13,1,common,24,0.62,201.83
LOT_JAV_030,27,35,45,35,35,1,common,25,1.03,205.63
LOT_JAV_030,28,35,24,24,24,1,common,26,0.94,209.28
LOT_JAV_030,29,28,45,28,28,1,common,27,0.88,212.96
