id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
MAA_FAR_025,100,45,29,29,29,1,common,0,4.37,77.28
MAA_FAR_025,101,52,66,52,52,1,common,0,2.34,84.41
MAA_FAR_025,102,44,53,53,44,0,common,0,1.64,90.8
MAA_FAR_025,0,24,44,44,24,0,common,0,13.3,124.15
MAA_FAR_025,1,23,29,23,23,1,common,1,1.29,128.19
MAA_FAR_025,2,12,27,12,12,1,common,2,3.3,134.19
MAA_FAR_025,3,74,65,74,65,0,common,2,3.91,140.89
MAA_FAR_025,4,75,90,90,75,0,common,2,1.11,144.81
MAA_FAR_025,5,18,12,12,12,1,common,3,1.39,148.95
MAA_FAR_025,6,9,16,9,9,1,common,4,1.01,152.69
MAA_FAR_025,7,40,25,40,40,1,common,5,2.37,157.82
MAA_FAR_025,8,60,75,75,60,0,common,5,0.93,161.53
MAA_FAR_025,9,43,25,43,25,0,common,5,2.98,167.28
MAA_FAR_025,10,26,15,15,15,1,common,6,1.43,171.44
MAA_FAR_025,11,71,54,54,54,1,common,7,1.55,175.76
MAA_FAR_025,12,46,29,29,29,1,common,8,1.58,180.07
MAA_FAR_025,13,53,33,53,33,0,common,8,3.5,186.34
MAA_FAR_025,14,38,52,52,38,0,common,8,1.07,190.19
MAA_FAR_025,15,44,24,44,24,0,common,8,0.89,193.82
MAA_FAR_025,16,12,13,13,12,0,common,8,2.53,199.08
MAA_FAR_025,17,64,58,58,58,1,common,9,0.86,202.72
MAA_FAR_025,18,31,13,13,13,1,common,10,1.6,207.08
MAA_FAR_025,19,88,98,88,88,1,common,11,2.81,212.67
MAA_FAR_025,20,43,31,43,31,0,common,11,1.54,216.97
MAA_FAR_025,21,25,36,36,25,0,common,11,1.27,220.94
MAA_FAR_025,22,42,29,29,29,1,common,12,1.73,225.4
MAA_FAR_025,23,20,32,32,20,0,common,12,0.95,229.08
MAA_FAR_025,24,19,36,36,36,1,common,13,1.24,233.07
MAA_FAR_025,25,48,36,48,36,0,common,13,1.43,237.26
MAA_FAR_025,26,13,33,13,13,1,common,14,0.99,240.99
MAA_FAR_025,27,35,45,45,35,0,common,14,1.04,244.79
MAA_FAR_025,28,24,35,24,24,1,common,15,1.66,249.19
MAA_FAR_025,29,28,45,45,28,0,common,15,1.3,253.23
MAA_FAR_025,30,13,30,13,13,1,common,16,0.7,256.68
MAA_FAR_025,31,17,36,36,36,1,common,17,1.67,261.08
MAA_FAR_025,32,74,62,74,62,0,common,17,1.82,265.68
MAA_FAR_025,33,31,26,31,26,0,common,17,1.68,270.11
MAA_FAR_025,34,38,28,38,28,0,common,17,0.91,273.79
MAA_FAR_025,35,81,72,81,72,0,common,17,1.17,277.73
MAA_FAR_025,36,16,21,16,16,1,common,18,1.84,282.3
MAA_FAR_025,37,36,21,36,36,1,common,19,1.18,286.21
MAA_FAR_025,38,16,36,16,16,1,common,20,2.17,291.1
MAA_FAR_025,39,16,8,8,8,1,common,21,0.99,294.82
MAA_FAR_025,40,18,12,12,12,1,common,22,0.61,298.16
MAA_FAR_025,41,76,67,76,67,0,common,22,1.06,301.97
MAA_FAR_025,42,84,92,92,84,0,common,22,1.13,305.89
MAA_FAR_025,43,34,14,14,14,1,common,23,2.45,311.1
MAA_FAR_025,44,14,9,9,9,1,common,24,0.51,314.32
MAA_FAR_025,45,83,103,103,83,0,common,24,0.76,317.86
MAA_FAR_025,46,33,23,23,23,1,common,25,1.58,322.16
MAA_FAR_025,47,28,19,28,28,1,common,26,1.48,326.38
MAA_FAR_025,48,41,30,41,30,0,common,26,1.28,330.37
MAA_FAR_025,49,35,53,53,35,0,common,26,1.02,334.15
MAA_FAR_025,50,33,34,34,33,0,common,26,4.37,341.27
MAA_FAR_025,51,86,81,86,81,0,common,26,1.17,345.22
