id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
MAR_CEC_015,100,45,29,45,29,0,common,0,3.23,100.8
MAR_CEC_015,101,66,52,52,52,1,common,0,3.06,108.63
MAR_CEC_015,102,53,44,53,44,0,common,0,4.63,118.01
MAR_CEC_015,0,24,44,24,24,1,common,1,4.6,141.61
MAR_CEC_015,1,23,29,23,23,1,common,2,5.16,149.54
MAR_CEC_015,2,27,12,12,12,1,common,3,1.65,153.89
MAR_CEC_015,3,74,65,65,65,1,common,4,2.65,159.31
MAR_CEC_015,4,75,90,75,75,1,common,5,12.2,174.29
MAR_CEC_015,5,12,18,12,12,1,common,6,0.95,178.0
MAR_CEC_015,6,9,16,9,9,1,common,7,1.71,182.43
MAR_CEC_015,7,25,40,25,40,0,common,7,12.79,197.97
MAR_CEC_015,8,60,75,75,60,0,common,7,1.53,202.28
MAR_CEC_015,9,43,25,43,25,0,common,7,6.97,212.02
MAR_CEC_015,10,26,15,15,15,1,common,8,1.56,216.31
MAR_CEC_015,11,54,71,54,54,1,common,9,11.19,230.25
MAR_CEC_015,12,46,29,29,29,1,common,10,13.28,246.23
MAR_CEC_015,13,33,53,53,33,0,common,10,4.03,253.02
MAR_CEC_015,14,52,38,38,38,1,common,11,1.55,257.35
MAR_CEC_015,15,44,24,24,24,1,common,12,1.4,261.5
MAR_CEC_015,16,13,12,12,12,1,common,13,1.7,265.93
MAR_CEC_015,17,58,64,58,58,1,common,14,19.43,288.17
MAR_CEC_015,18,31,13,13,13,1,common,15,1.79,292.7
MAR_CEC_015,19,98,88,88,88,1,common,16,3.5,299.0
MAR_CEC_015,20,43,31,31,31,1,common,17,3.1,304.85
MAR_CEC_015,21,36,25,36,25,0,common,17,13.01,320.57
MAR_CEC_015,22,29,42,42,29,0,common,17,18.46,341.76
MAR_CEC_015,23,32,20,32,20,0,common,17,7.03,351.51
MAR_CEC_015,24,36,19,36,36,1,common,18,7.09,361.34
MAR_CEC_015,25,36,48,36,36,1,common,19,3.12,367.22
MAR_CEC_015,26,13,33,13,13,1,common,20,5.49,375.44
MAR_CEC_015,27,35,45,35,35,1,common,21,3.31,381.52
MAR_CEC_015,28,35,24,35,24,0,common,21,3.51,387.76
MAR_CEC_015,29,45,28,45,28,0,common,21,17.04,407.57
MAR_CEC_015,30,30,13,13,13,1,common,22,3.05,413.37
MAR_CEC_015,31,36,17,36,36,1,common,23,1.07,417.18
