id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
MAZ_CER_017,100,29,45,45,29,0,common,0,21.66,111.09
MAZ_CER_017,101,66,52,52,52,1,common,0,2.03,117.88
MAZ_CER_017,102,44,53,44,44,1,common,0,1.76,124.39
MAZ_CER_017,0,24,44,24,24,1,common,1,4.03,147.39
MAZ_CER_017,1,29,23,23,23,1,common,2,1.83,151.96
MAZ_CER_017,2,27,12,12,12,1,common,3,2.61,157.29
MAZ_CER_017,3,65,74,65,65,1,common,4,4.83,164.91
MAZ_CER_017,4,90,75,75,75,1,common,5,2.41,170.13
MAZ_CER_017,5,18,12,12,12,1,common,6,1.0,173.88
MAZ_CER_017,6,9,16,9,9,1,common,7,3.02,179.63
MAZ_CER_017,7,25,40,25,40,0,common,7,3.25,185.62
MAZ_CER_017,8,75,60,60,60,1,common,8,1.61,190.0
MAZ_CER_017,9,25,43,25,25,1,common,9,1.21,194.0
MAZ_CER_017,10,15,26,15,15,1,common,10,3.03,199.78
MAZ_CER_017,11,71,54,54,54,1,common,11,1.83,204.41
MAZ_CER_017,12,46,29,29,29,1,common,12,2.45,209.58
MAZ_CER_017,13,33,53,33,33,1,common,13,3.88,216.19
MAZ_CER_017,14,38,52,38,38,1,common,14,1.68,220.66
MAZ_CER_017,15,44,24,24,24,1,common,15,0.89,224.31
MAZ_CER_017,16,13,12,12,12,1,common,16,0.78,227.83
MAZ_CER_017,17,58,64,58,58,1,common,17,2.61,233.19
MAZ_CER_017,18,31,13,13,13,1,common,18,1.79,237.72
MAZ_CER_017,19,88,98,98,88,0,common,18,7.94,248.47
MAZ_CER_017,20,43,31,31,31,1,common,19,1.17,252.42
MAZ_CER_017,21,36,25,25,25,1,common,20,2.36,257.54
MAZ_CER_017,22,42,29,29,29,1,common,21,1.74,261.99
MAZ_CER_017,23,20,32,20,20,1,common,22,2.34,267.06
MAZ_CER_017,24,19,36,19,36,0,common,22,3.63,273.44
MAZ_CER_017,25,48,36,36,36,1,common,23,1.34,277.54
MAZ_CER_017,26,13,33,13,13,1,common,24,2.32,282.6
MAZ_CER_017,27,45,35,35,35,1,common,25,1.44,286.83
MAZ_CER_017,28,24,35,24,24,1,common,26,1.12,290.69
MAZ_CER_017,29,28,45,28,28,1,common,27,0.82,294.26
MAZ_CER_017,30,13,30,13,13,1,common,28,1.04,298.06
