id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
MAZ_CER_017,100,6,6,1,0,2.82,47.27
MAZ_CER_017,101,6,6,1,0,0.75,52.17
MAZ_CER_017,102,6,0,0,0,0.66,56.99
MAZ_CER_017,0,0,0,1,1,1.49,76.64
MAZ_CER_017,1,6,6,1,2,1.73,80.57
MAZ_CER_017,2,6,6,1,3,0.58,83.32
MAZ_CER_017,3,6,6,1,4,0.95,86.43
MAZ_CER_017,4,6,6,1,5,1.25,89.87
MAZ_CER_017,5,6,6,1,6,0.55,92.6
MAZ_CER_017,6,6,6,1,7,0.81,95.61
MAZ_CER_017,7,6,6,1,8,0.76,98.54
MAZ_CER_017,8,0,0,1,9,0.55,101.28
MAZ_CER_017,9,6,6,1,10,1.51,104.95
MAZ_CER_017,10,6,6,1,11,2.12,109.24
MAZ_CER_017,11,6,6,1,12,1.61,113.04
MAZ_CER_017,12,0,0,1,13,0.34,115.54
MAZ_CER_017,13,6,6,1,14,0.59,118.31
MAZ_CER_017,14,6,6,1,15,0.72,121.19
MAZ_CER_017,15,6,6,1,16,0.69,124.06
MAZ_CER_017,16,6,6,1,17,0.73,126.97
MAZ_CER_017,17,6,6,1,18,0.03,129.15
MAZ_CER_017,18,6,6,1,19,1.98,133.3
MAZ_CER_017,19,0,0,1,20,0.06,135.55
MAZ_CER_017,20,0,6,0,20,0.65,138.37
MAZ_CER_017,21,0,6,0,20,4.18,144.71
MAZ_CER_017,22,6,6,1,21,0.86,147.76
MAZ_CER_017,23,6,6,1,22,1.62,151.54
MAZ_CER_017,24,0,0,1,23,0.38,154.1
MAZ_CER_017,25,6,6,1,24,1.03,157.3
MAZ_CER_017,26,1,0,0,24,0.33,159.81
MAZ_CER_017,27,6,6,1,25,4.02,166.01
MAZ_CER_017,28,6,6,1,26,1.01,169.21
MAZ_CER_017,29,6,6,1,27,1.14,172.53
MAZ_CER_017,30,0,6,0,27,1.38,176.08
MAZ_CER_017,31,0,0,1,28,4.09,182.37
MAZ_CER_017,32,6,6,1,29,0.76,185.3
MAZ_CER_017,33,0,0,1,30,0.84,188.31
MAZ_CER_017,34,0,0,1,31,0.75,191.22
MAZ_CER_017,35,0,6,0,31,0.64,194.04
MAZ_CER_017,36,6,6,1,32,1.97,198.19
MAZ_CER_017,37,0,0,1,33,1.18,201.55
MAZ_CER_017,38,0,0,1,34,2.03,205.75
MAZ_CER_017,39,0,6,0,34,0.37,208.29
MAZ_CER_017,40,0,0,1,35,0.35,210.83
MAZ_CER_017,41,0,0,1,36,0.43,213.47
MAZ_CER_017,42,6,6,1,37,0.34,216.0
MAZ_CER_017,43,0,6,0,37,0.66,218.83
MAZ_CER_017,44,6,6,1,38,0.73,221.74
MAZ_CER_017,45,6,6,1,39,0.39,224.3
MAZ_CER_017,46,6,6,1,40,0.65,227.12
MAZ_CER_017,47,0,6,0,40,2.04,231.34
MAZ_CER_017,48,0,0,1,41,1.17,234.71
MAZ_CER_017,49,0,0,1,42,0.61,237.5
MAZ_CER_017,50,0,0,1,43,0.9,240.61
MAZ_CER_017,51,0,6,0,43,0.28,243.05
MAZ_CER_017,52,6,6,1,44,0.47,245.71
MAZ_CER_017,53,6,6,1,45,0.97,248.84
MAZ_CER_017,54,0,6,0,45,0.31,251.34
MAZ_CER_017,55,0,6,0,45,1.04,254.56
MAZ_CER_017,56,6,6,1,46,1.09,257.82
MAZ_CER_017,57,6,6,1,47,0.42,260.43
MAZ_CER_017,58,6,6,1,48,0.64,263.26
MAZ_CER_017,59,6,6,1,49,0.79,266.22
MAZ_CER_017,60,6,6,1,50,0.93,269.33
MAZ_CER_017,61,6,6,1,51,1.39,272.9
MAZ_CER_017,62,6,6,1,52,1.73,276.8
MAZ_CER_017,63,6,6,1,53,0.61,279.56
MAZ_CER_017,64,6,6,1,54,0.67,282.4
MAZ_CER_017,65,6,6,1,55,0.56,285.13
MAZ_CER_017,66,6,6,1,56,0.38,287.67
MAZ_CER_017,67,0,0,1,57,0.61,290.48
MAZ_CER_017,68,0,0,1,58,0.51,293.18
MAZ_CER_017,69,0,6,0,58,0.7,296.07
MAZ_CER_017,70,6,6,1,59,0.24,298.5
MAZ_CER_017,71,6,6,1,60,0.37,301.06
MAZ_CER_017,72,6,6,1,61,0.8,304.04
MAZ_CER_017,73,0,0,1,62,1.05,307.27
MAZ_CER_017,74,0,0,1,63,0.39,309.86
MAZ_CER_017,75,6,6,1,64,1.49,313.51
MAZ_CER_017,76,6,6,1,65,1.85,317.54
MAZ_CER_017,77,6,6,1,66,0.21,319.93
MAZ_CER_017,78,6,6,1,67,0.06,322.15
MAZ_CER_017,79,6,6,1,68,0.06,324.4
MAZ_CER_017,80,6,6,1,69,0.3,326.87
MAZ_CER_017,81,0,0,1,70,1.31,330.37
MAZ_CER_017,82,6,6,1,71,0.61,333.14
MAZ_CER_017,83,6,6,1,72,0.37,335.7
MAZ_CER_017,84,0,0,1,73,4.16,342.03
MAZ_CER_017,85,6,6,1,74,1.34,345.55
MAZ_CER_017,86,6,6,1,75,1.07,348.79
MAZ_CER_017,87,0,6,0,75,0.39,351.36
MAZ_CER_017,88,6,6,1,76,7.99,361.53
MAZ_CER_017,89,6,6,1,77,1.52,365.22
MAZ_CER_017,90,0,0,1,78,0.78,368.21
MAZ_CER_017,91,6,6,1,79,2.87,373.26
MAZ_CER_017,92,6,6,1,80,0.57,376.01
MAZ_CER_017,93,6,6,1,81,0.56,378.75
MAZ_CER_017,94,6,6,1,82,0.38,381.31
MAZ_CER_017,95,6,6,1,83,2.51,386.01
MAZ_CER_017,96,6,6,1,84,0.79,388.98
MAZ_CER_017,97,0,0,1,85,0.34,391.51
MAZ_CER_017,98,0,0,1,86,0.36,394.04
MAZ_CER_017,99,6,6,1,87,0.79,397.01
