id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
MEN_VIR_060,100,6,6,1,0,1.78,66.54
MEN_VIR_060,101,6,6,1,0,0.65,71.36
MEN_VIR_060,102,6,0,0,0,0.49,76.04
MEN_VIR_060,0,0,0,1,1,2.09,94.99
MEN_VIR_060,1,6,6,1,2,1.06,98.23
MEN_VIR_060,2,6,6,1,3,0.61,101.05
MEN_VIR_060,3,6,6,1,4,0.7,103.93
MEN_VIR_060,4,6,6,1,5,0.49,106.62
MEN_VIR_060,5,6,6,1,6,0.5,109.31
MEN_VIR_060,6,6,6,1,7,1.91,113.42
MEN_VIR_060,7,6,6,1,8,0.96,116.55
MEN_VIR_060,8,0,0,1,9,1.2,119.95
MEN_VIR_060,9,6,6,1,10,0.71,122.87
MEN_VIR_060,10,6,6,1,11,2.12,127.2
MEN_VIR_060,11,6,6,1,12,0.9,130.31
MEN_VIR_060,12,0,0,1,13,0.61,133.11
MEN_VIR_060,13,6,6,1,14,1.43,136.7
MEN_VIR_060,14,6,6,1,15,1.25,140.16
MEN_VIR_060,15,0,6,0,15,3.35,145.71
MEN_VIR_060,16,6,6,1,16,1.84,149.75
MEN_VIR_060,17,6,6,1,17,2.03,153.99
MEN_VIR_060,18,6,6,1,18,0.73,156.9
MEN_VIR_060,19,0,0,1,19,1.18,160.3
MEN_VIR_060,20,6,6,1,20,2.37,164.88
MEN_VIR_060,21,6,6,1,21,2.79,169.88
MEN_VIR_060,22,6,6,1,22,0.99,173.09
MEN_VIR_060,23,6,6,1,23,1.58,176.87
MEN_VIR_060,24,0,0,1,24,0.91,180.0
MEN_VIR_060,25,0,6,0,24,6.93,189.12
MEN_VIR_060,26,0,0,1,25,0.66,191.97
MEN_VIR_060,27,6,6,1,26,1.32,195.48
MEN_VIR_060,28,6,6,1,27,2.9,200.59
MEN_VIR_060,29,6,6,1,28,0.95,203.75
MEN_VIR_060,30,6,6,1,29,1.09,207.04
MEN_VIR_060,31,0,0,1,30,0.86,210.09
MEN_VIR_060,32,0,6,0,30,2.58,214.88
MEN_VIR_060,33,0,0,1,31,7.95,225.01
MEN_VIR_060,34,0,0,1,32,0.86,228.07
MEN_VIR_060,35,0,6,0,32,5.44,235.71
