id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
MIT_JUN_004,100,6,6,1,0,0.97,17.84
MIT_JUN_004,101,6,6,1,0,0.59,22.61
MIT_JUN_004,102,6,0,0,0,0.56,27.38
MIT_JUN_004,0,6,0,0,0,0.77,46.58
MIT_JUN_004,1,6,6,1,1,0.42,49.19
MIT_JUN_004,2,0,6,0,1,0.68,52.07
MIT_JUN_004,3,6,6,1,2,0.3,54.58
MIT_JUN_004,4,6,6,1,3,0.45,57.21
MIT_JUN_004,5,6,6,1,4,0.4,59.81
MIT_JUN_004,6,6,6,1,5,0.32,62.33
MIT_JUN_004,7,0,6,0,5,0.78,65.3
MIT_JUN_004,8,0,0,1,6,0.34,67.85
MIT_JUN_004,9,0,6,0,6,0.5,70.54
MIT_JUN_004,10,6,6,1,7,0.45,73.17
MIT_JUN_004,11,6,6,1,8,0.41,75.78
MIT_JUN_004,12,0,0,1,9,0.33,78.28
MIT_JUN_004,13,0,6,0,9,2.35,82.83
MIT_JUN_004,14,6,6,1,10,0.28,85.3
MIT_JUN_004,15,6,6,1,11,0.43,87.92
MIT_JUN_004,16,6,6,1,12,0.63,90.74
MIT_JUN_004,17,6,6,1,13,0.82,93.74
MIT_JUN_004,18,6,6,1,14,0.64,96.54
MIT_JUN_004,19,0,0,1,15,0.35,99.08
MIT_JUN_004,20,0,6,0,15,0.74,102.01
MIT_JUN_004,21,6,6,1,16,0.29,104.49
MIT_JUN_004,22,6,6,1,17,0.44,107.13
MIT_JUN_004,23,6,6,1,18,0.26,109.6
MIT_JUN_004,24,0,0,1,19,0.26,112.07
MIT_JUN_004,25,0,6,0,19,0.5,114.79
MIT_JUN_004,26,0,0,1,20,0.39,117.38
MIT_JUN_004,27,0,6,0,20,0.44,120.01
MIT_JUN_004,28,6,6,1,21,0.28,122.49
MIT_JUN_004,29,6,6,1,22,0.51,125.2
MIT_JUN_004,30,0,6,0,22,0.52,127.91
MIT_JUN_004,31,0,0,1,23,2.49,132.63
MIT_JUN_004,32,0,6,0,23,0.45,135.27
MIT_JUN_004,33,0,0,1,24,0.27,137.76
MIT_JUN_004,34,0,0,1,25,0.26,140.23
MIT_JUN_004,35,6,6,1,26,0.24,142.66
MIT_JUN_004,36,6,6,1,27,0.22,145.07
MIT_JUN_004,37,6,0,0,27,0.32,147.58
MIT_JUN_004,38,0,0,1,28,4.36,154.13
MIT_JUN_004,39,6,6,1,29,0.34,156.66
MIT_JUN_004,40,0,0,1,30,0.28,159.14
MIT_JUN_004,41,0,0,1,31,0.27,161.61
MIT_JUN_004,42,6,6,1,32,0.61,164.41
MIT_JUN_004,43,6,6,1,33,0.32,166.91
MIT_JUN_004,44,6,6,1,34,0.61,169.7
MIT_JUN_004,45,6,6,1,35,0.24,172.13
MIT_JUN_004,46,6,6,1,36,0.26,174.57
MIT_JUN_004,47,0,6,0,36,0.24,177.0
MIT_JUN_004,48,6,0,0,36,2.69,181.88
MIT_JUN_004,49,0,0,1,37,1.09,185.18
MIT_JUN_004,50,6,0,0,37,0.49,187.88
MIT_JUN_004,51,6,6,1,38,0.44,190.52
MIT_JUN_004,52,6,6,1,39,0.27,193.05
MIT_JUN_004,53,6,6,1,40,0.4,195.64
MIT_JUN_004,54,6,6,1,41,0.89,198.72
MIT_JUN_004,55,6,6,1,42,0.35,201.32
MIT_JUN_004,56,6,6,1,43,0.24,203.73
MIT_JUN_004,57,6,6,1,44,0.29,206.22
MIT_JUN_004,58,6,6,1,45,0.62,209.03
MIT_JUN_004,59,6,6,1,46,1.86,213.1
MIT_JUN_004,60,6,6,1,47,0.37,215.69
MIT_JUN_004,61,6,6,1,48,0.41,218.3
MIT_JUN_004,62,6,6,1,49,0.3,220.81
MIT_JUN_004,63,6,6,1,50,0.24,223.25
MIT_JUN_004,64,6,6,1,51,0.24,225.68
MIT_JUN_004,65,0,6,0,51,0.41,228.28
MIT_JUN_004,66,6,6,1,52,0.35,230.84
MIT_JUN_004,67,0,0,1,53,0.26,233.31
MIT_JUN_004,68,0,0,1,54,0.37,235.86
MIT_JUN_004,69,6,6,1,55,0.24,238.3
MIT_JUN_004,70,6,6,1,56,0.24,240.74
MIT_JUN_004,71,6,6,1,57,0.31,243.24
MIT_JUN_004,72,6,6,1,58,0.21,245.64
MIT_JUN_004,73,0,0,1,59,0.25,248.09
MIT_JUN_004,74,6,0,0,59,0.77,251.06
MIT_JUN_004,75,6,6,1,60,0.67,253.93
MIT_JUN_004,76,6,6,1,61,0.64,256.74
MIT_JUN_004,77,6,6,1,62,0.25,259.19
MIT_JUN_004,78,6,6,1,63,0.34,261.71
MIT_JUN_004,79,6,6,1,64,0.77,264.68
MIT_JUN_004,80,6,6,1,65,0.75,267.62
MIT_JUN_004,81,0,0,1,66,0.37,270.17
MIT_JUN_004,82,6,6,1,67,1.06,273.42
MIT_JUN_004,83,6,6,1,68,0.84,276.46
MIT_JUN_004,84,6,0,0,68,0.96,279.64
MIT_JUN_004,85,6,6,1,69,1.63,283.45
MIT_JUN_004,86,6,6,1,70,0.86,286.53
MIT_JUN_004,87,6,6,1,71,0.8,289.54
MIT_JUN_004,88,6,6,1,72,0.32,292.06
