id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
OZ-_ANA_049,100,45,29,29,29,1,common,0,2.16,43.01
OZ-_ANA_049,101,52,66,52,52,1,common,0,1.91,49.64
OZ-_ANA_049,102,44,53,44,44,1,common,0,1.87,56.24
OZ-_ANA_049,0,24,44,24,24,1,common,1,2.64,80.09
OZ-_ANA_049,1,29,23,23,23,1,common,2,2.67,85.5
OZ-_ANA_049,2,12,27,12,12,1,common,3,1.86,90.06
OZ-_ANA_049,3,65,74,74,65,0,common,3,2.39,95.22
OZ-_ANA_049,4,75,90,90,75,0,common,3,1.94,99.9
OZ-_ANA_049,5,12,18,12,12,1,common,4,2.0,104.61
OZ-_ANA_049,6,9,16,9,9,1,common,5,1.29,108.62
OZ-_ANA_049,7,40,25,40,40,1,common,6,3.05,114.41
OZ-_ANA_049,8,60,75,60,60,1,common,7,1.5,118.63
OZ-_ANA_049,9,25,43,25,25,1,common,8,1.42,122.8
OZ-_ANA_049,10,15,26,15,15,1,common,9,3.23,128.72
OZ-_ANA_049,11,71,54,54,54,1,common,10,2.03,133.51
OZ-_ANA_049,12,29,46,29,29,1,common,11,1.86,138.08
OZ-_ANA_049,13,53,33,33,33,1,common,12,2.65,143.43
OZ-_ANA_049,14,52,38,38,38,1,common,13,1.83,148.03
OZ-_ANA_049,15,44,24,24,24,1,common,14,1.89,152.64
OZ-_ANA_049,16,13,12,12,12,1,common,15,2.42,157.76
OZ-_ANA_049,17,58,64,58,58,1,common,16,2.02,162.57
OZ-_ANA_049,18,31,13,13,13,1,common,17,2.75,168.06
OZ-_ANA_049,19,88,98,98,88,0,common,17,1.96,172.79
OZ-_ANA_049,20,43,31,43,31,0,common,17,1.68,177.21
OZ-_ANA_049,21,25,36,36,25,0,common,17,2.78,182.69
OZ-_ANA_049,22,42,29,29,29,1,common,18,2.08,187.46
OZ-_ANA_049,23,20,32,20,20,1,common,19,1.89,192.06
OZ-_ANA_049,24,36,19,36,36,1,common,20,2.19,196.99
OZ-_ANA_049,25,48,36,36,36,1,common,21,1.2,200.92
OZ-_ANA_049,26,13,33,13,13,1,common,22,1.7,205.31
OZ-_ANA_049,27,45,35,35,35,1,common,23,1.54,209.59
OZ-_ANA_049,28,35,24,24,24,1,common,24,1.57,213.87
OZ-_ANA_049,29,45,28,28,28,1,common,25,1.43,218.03
OZ-_ANA_049,30,13,30,13,13,1,common,26,1.58,222.35
OZ-_ANA_049,31,36,17,36,36,1,common,27,2.97,228.05
OZ-_ANA_049,32,74,62,62,62,1,common,28,1.39,232.2
OZ-_ANA_049,33,31,26,31,26,0,common,28,6.15,241.07
OZ-_ANA_049,34,38,28,28,28,1,common,29,2.19,245.99
OZ-_ANA_049,35,72,81,72,72,1,common,30,2.17,250.94
OZ-_ANA_049,36,21,16,16,16,1,common,31,2.21,255.88
OZ-_ANA_049,37,21,36,36,36,1,common,32,1.31,259.89
OZ-_ANA_049,38,16,36,36,16,0,common,32,2.1,264.68
OZ-_ANA_049,39,8,16,8,8,1,common,33,3.03,270.43
OZ-_ANA_049,40,12,18,12,12,1,common,34,0.83,273.98
OZ-_ANA_049,41,67,76,67,67,1,common,35,1.6,278.37
OZ-_ANA_049,42,84,92,92,84,0,common,35,1.02,282.15
OZ-_ANA_049,43,14,34,14,14,1,common,36,1.77,286.67
OZ-_ANA_049,44,9,14,9,9,1,common,37,1.29,290.67
OZ-_ANA_049,45,103,83,83,83,1,common,38,1.44,294.85
OZ-_ANA_049,46,33,23,33,23,0,common,38,3.01,300.58
OZ-_ANA_049,47,19,28,28,28,1,common,39,2.83,306.11
OZ-_ANA_049,48,30,41,30,30,1,common,40,1.83,310.65
OZ-_ANA_049,49,35,53,35,35,1,common,41,1.5,314.9
OZ-_ANA_049,50,33,34,34,33,0,pro,41,8.13,325.71
OZ-_ANA_049,51,81,86,86,81,0,pro,41,1.85,330.3
OZ-_ANA_049,52,52,33,33,33,1,pro,42,6.93,339.95
OZ-_ANA_049,53,44,30,30,30,1,pro,43,1.45,344.11
OZ-_ANA_049,54,35,30,35,30,0,pro,43,1.59,348.43
OZ-_ANA_049,55,52,20,52,52,1,pro,44,1.92,353.07
OZ-_ANA_049,56,52,31,52,52,1,pro,45,0.96,356.76
OZ-_ANA_049,57,24,32,24,24,1,pro,46,2.49,361.97
OZ-_ANA_049,58,35,60,60,60,1,pro,47,2.42,367.12
OZ-_ANA_049,59,32,27,32,32,1,pro,48,1.35,371.19
OZ-_ANA_049,60,20,31,31,20,0,pro,48,0.95,374.85
OZ-_ANA_049,61,29,23,29,23,0,pro,48,2.79,380.39
OZ-_ANA_049,62,24,14,24,24,1,pro,49,2.3,385.44
OZ-_ANA_049,63,51,32,32,32,1,pro,50,1.87,390.07
OZ-_ANA_049,64,11,30,11,11,1,pro,51,1.29,394.08
OZ-_ANA_049,65,72,53,53,53,1,pro,52,1.55,398.4
OZ-_ANA_049,66,51,41,41,41,1,pro,53,2.34,403.51
OZ-_ANA_049,67,42,26,26,26,1,pro,54,1.26,407.51
OZ-_ANA_049,68,48,23,48,48,1,pro,55,2.61,412.86
OZ-_ANA_049,69,56,30,56,56,1,pro,56,2.21,417.78
OZ-_ANA_049,70,43,62,62,43,0,pro,56,2.96,423.51
OZ-_ANA_049,71,44,50,44,44,1,pro,57,4.52,430.78
OZ-_ANA_049,72,14,20,20,20,1,pro,58,1.42,434.92
OZ-_ANA_049,73,32,26,26,26,1,pro,59,2.02,439.64
OZ-_ANA_049,74,39,19,19,19,1,pro,60,1.6,443.96
OZ-_ANA_049,75,14,24,24,24,1,pro,61,2.96,449.63
OZ-_ANA_049,76,70,55,55,55,1,pro,62,1.22,453.63
OZ-_ANA_049,77,15,6,6,6,1,pro,63,1.29,457.62
OZ-_ANA_049,78,31,44,31,31,1,pro,64,2.56,462.93
OZ-_ANA_049,79,28,60,60,60,1,pro,65,2.69,468.36
OZ-_ANA_049,80,31,20,20,20,1,pro,66,2.88,473.95
OZ-_ANA_049,81,23,36,36,36,1,pro,67,1.77,478.44
OZ-_ANA_049,82,80,63,63,63,1,pro,68,1.71,482.88
OZ-_ANA_049,83,8,28,8,8,1,pro,69,0.76,486.36
OZ-_ANA_049,84,32,21,32,32,1,pro,70,3.86,492.98
OZ-_ANA_049,85,29,41,29,29,1,pro,71,0.97,496.68
OZ-_ANA_049,86,22,40,40,40,1,pro,72,1.4,500.82
OZ-_ANA_049,87,14,27,14,14,1,pro,73,1.19,504.74
OZ-_ANA_049,88,48,32,48,48,1,pro,74,2.82,510.3
OZ-_ANA_049,89,42,29,29,29,1,pro,75,4.6,517.65
OZ-_ANA_049,90,81,92,81,81,1,pro,76,1.24,521.64
OZ-_ANA_049,91,22,20,20,20,1,pro,77,1.0,525.36
OZ-_ANA_049,92,45,32,32,32,1,pro,78,1.23,529.34
OZ-_ANA_049,93,49,33,33,33,1,pro,79,8.33,540.4
OZ-_ANA_049,94,41,58,41,41,1,pro,80,3.48,546.64
OZ-_ANA_049,95,22,36,36,36,1,pro,81,1.56,550.91
OZ-_ANA_049,96,83,77,77,77,1,pro,82,1.42,555.11
OZ-_ANA_049,97,68,62,68,62,0,pro,82,1.61,559.5
OZ-_ANA_049,98,22,17,17,17,1,pro,83,2.55,564.77
OZ-_ANA_049,99,29,18,18,18,1,pro,84,2.47,569.95
