id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
OZ-_ANA_049,100,6,6,1,0,1.73,38.39
OZ-_ANA_049,101,6,6,1,0,1.24,43.78
OZ-_ANA_049,102,6,0,0,0,1.15,49.1
OZ-_ANA_049,0,0,0,1,1,1.3,68.09
OZ-_ANA_049,1,0,6,0,1,0.75,71.01
OZ-_ANA_049,2,6,6,1,2,2.39,75.57
OZ-_ANA_049,3,6,6,1,3,0.87,78.59
OZ-_ANA_049,4,6,6,1,4,0.76,81.53
OZ-_ANA_049,5,6,6,1,5,0.76,84.47
OZ-_ANA_049,6,6,6,1,6,0.85,87.49
OZ-_ANA_049,7,6,6,1,7,3.41,93.07
OZ-_ANA_049,8,0,0,1,8,0.67,95.91
OZ-_ANA_049,9,6,6,1,9,0.47,98.56
OZ-_ANA_049,10,6,6,1,10,0.44,101.18
OZ-_ANA_049,11,6,6,1,11,0.63,104.01
OZ-_ANA_049,12,0,0,1,12,0.72,106.92
OZ-_ANA_049,13,6,6,1,13,0.7,109.81
OZ-_ANA_049,14,6,6,1,14,0.7,112.68
OZ-_ANA_049,15,6,6,1,15,0.67,115.52
OZ-_ANA_049,16,6,6,1,16,0.47,118.15
OZ-_ANA_049,17,6,6,1,17,0.61,120.94
OZ-_ANA_049,18,6,6,1,18,0.15,123.26
OZ-_ANA_049,19,0,0,1,19,1.15,126.58
OZ-_ANA_049,20,6,6,1,20,0.74,129.5
OZ-_ANA_049,21,6,6,1,21,0.45,132.11
OZ-_ANA_049,22,6,6,1,22,0.43,134.72
OZ-_ANA_049,23,6,6,1,23,1.07,137.98
OZ-_ANA_049,24,0,0,1,24,0.64,140.8
OZ-_ANA_049,25,6,6,1,25,0.61,143.59
OZ-_ANA_049,26,0,0,1,26,1.31,147.07
OZ-_ANA_049,27,6,6,1,27,0.68,149.92
OZ-_ANA_049,28,6,6,1,28,0.8,152.9
OZ-_ANA_049,29,6,6,1,29,0.83,155.9
OZ-_ANA_049,30,6,6,1,30,0.56,158.62
OZ-_ANA_049,31,0,0,1,31,1.03,161.82
OZ-_ANA_049,32,6,6,1,32,0.63,164.63
OZ-_ANA_049,33,0,0,1,33,0.62,167.41
OZ-_ANA_049,34,0,0,1,34,0.33,169.92
OZ-_ANA_049,35,6,6,1,35,0.45,172.56
OZ-_ANA_049,36,6,6,1,36,0.57,175.3
OZ-_ANA_049,37,0,0,1,37,0.95,178.43
OZ-_ANA_049,38,0,0,1,38,0.73,181.32
OZ-_ANA_049,39,6,6,1,39,0.4,183.89
OZ-_ANA_049,40,0,0,1,40,0.74,186.81
OZ-_ANA_049,41,0,0,1,41,0.65,189.67
OZ-_ANA_049,42,6,6,1,42,0.45,192.3
OZ-_ANA_049,43,6,6,1,43,0.75,195.22
OZ-_ANA_049,44,6,6,1,44,0.58,197.97
OZ-_ANA_049,45,6,6,1,45,0.55,200.7
OZ-_ANA_049,46,6,6,1,46,1.51,204.39
OZ-_ANA_049,47,6,6,1,47,0.38,206.94
OZ-_ANA_049,48,0,0,1,48,0.4,209.51
OZ-_ANA_049,49,0,0,1,49,0.46,212.17
OZ-_ANA_049,50,0,0,1,50,0.36,214.71
OZ-_ANA_049,51,6,6,1,51,0.58,217.47
OZ-_ANA_049,52,6,6,1,52,0.5,220.16
OZ-_ANA_049,53,6,6,1,53,0.36,222.71
OZ-_ANA_049,54,6,6,1,54,0.21,225.07
OZ-_ANA_049,55,6,6,1,55,0.87,228.13
OZ-_ANA_049,56,6,6,1,56,0.57,230.88
OZ-_ANA_049,57,6,6,1,57,0.94,234.01
OZ-_ANA_049,58,6,6,1,58,0.77,236.97
OZ-_ANA_049,59,6,6,1,59,0.57,239.72
OZ-_ANA_049,60,6,6,1,60,0.64,242.52
OZ-_ANA_049,61,6,6,1,61,0.97,245.66
OZ-_ANA_049,62,6,6,1,62,0.72,248.55
OZ-_ANA_049,63,6,6,1,63,0.29,251.02
OZ-_ANA_049,64,6,6,1,64,0.45,253.64
OZ-_ANA_049,65,6,6,1,65,0.48,256.29
OZ-_ANA_049,66,6,6,1,66,0.7,259.14
OZ-_ANA_049,67,6,0,0,66,0.85,262.16
OZ-_ANA_049,68,0,0,1,67,0.45,264.82
OZ-_ANA_049,69,6,6,1,68,0.96,267.94
OZ-_ANA_049,70,6,6,1,69,0.38,270.5
OZ-_ANA_049,71,6,6,1,70,0.55,273.21
OZ-_ANA_049,72,6,6,1,71,0.4,275.8
