id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
PEI_OCE_013,100,6,6,1,0,0.79,46.97
PEI_OCE_013,101,6,6,1,0,0.66,51.79
PEI_OCE_013,102,6,0,0,0,0.97,56.93
PEI_OCE_013,0,0,0,1,1,0.81,75.44
PEI_OCE_013,1,6,6,1,2,2.51,80.16
PEI_OCE_013,2,6,6,1,3,1.52,83.89
PEI_OCE_013,3,6,6,1,4,1.55,87.64
PEI_OCE_013,4,6,6,1,5,1.02,90.84
PEI_OCE_013,5,6,6,1,6,1.01,94.06
PEI_OCE_013,6,6,6,1,7,0.85,97.1
PEI_OCE_013,7,6,6,1,8,1.31,100.62
PEI_OCE_013,8,0,0,1,9,0.94,103.75
PEI_OCE_013,9,6,6,1,10,1.58,107.51
PEI_OCE_013,10,6,6,1,11,0.88,110.58
PEI_OCE_013,11,6,6,1,12,1.23,114.0
PEI_OCE_013,12,0,0,1,13,0.4,116.59
PEI_OCE_013,13,6,6,1,14,0.79,119.56
PEI_OCE_013,14,6,6,1,15,0.41,122.18
PEI_OCE_013,15,6,6,1,16,0.63,125.01
PEI_OCE_013,16,6,6,1,17,0.79,127.99
PEI_OCE_013,17,6,6,1,18,0.44,130.61
PEI_OCE_013,18,6,6,1,19,0.53,133.34
PEI_OCE_013,19,0,0,1,20,0.49,136.0
PEI_OCE_013,20,6,6,1,21,0.79,138.99
PEI_OCE_013,21,6,6,1,22,0.51,141.68
PEI_OCE_013,22,6,6,1,23,0.89,144.76
PEI_OCE_013,23,6,6,1,24,0.6,147.57
PEI_OCE_013,24,0,0,1,25,0.27,150.04
PEI_OCE_013,25,6,6,1,26,0.63,152.87
PEI_OCE_013,26,0,0,1,27,0.49,155.53
PEI_OCE_013,27,0,6,0,27,0.88,158.6
PEI_OCE_013,28,6,6,1,28,0.79,161.6
PEI_OCE_013,29,6,6,1,29,0.67,164.46
PEI_OCE_013,30,6,6,1,30,0.65,167.32
PEI_OCE_013,31,0,0,1,31,0.7,170.24
PEI_OCE_013,32,6,6,1,32,0.77,173.21
PEI_OCE_013,33,0,0,1,33,0.43,175.82
PEI_OCE_013,34,0,0,1,34,0.39,178.43
PEI_OCE_013,35,6,6,1,35,0.47,181.09
PEI_OCE_013,36,6,6,1,36,3.14,186.41
PEI_OCE_013,37,0,0,1,37,0.48,189.08
PEI_OCE_013,38,0,0,1,38,0.58,191.86
PEI_OCE_013,39,6,6,1,39,0.8,194.85
PEI_OCE_013,40,0,0,1,40,0.34,197.38
PEI_OCE_013,41,0,0,1,41,0.31,199.9
PEI_OCE_013,42,6,6,1,42,0.32,202.43
PEI_OCE_013,43,6,6,1,43,0.72,205.34
PEI_OCE_013,44,6,6,1,44,0.71,208.27
PEI_OCE_013,45,6,6,1,45,0.59,211.05
PEI_OCE_013,46,6,6,1,46,1.02,214.26
PEI_OCE_013,47,6,6,1,47,0.57,217.03
PEI_OCE_013,48,0,0,1,48,0.24,219.5
PEI_OCE_013,49,0,0,1,49,0.43,222.15
PEI_OCE_013,50,0,0,1,50,0.53,224.88
PEI_OCE_013,51,0,6,0,50,0.53,227.6
PEI_OCE_013,52,6,6,1,51,0.37,230.19
PEI_OCE_013,53,6,6,1,52,0.53,232.9
PEI_OCE_013,54,0,6,0,52,0.54,235.63
PEI_OCE_013,55,6,6,1,53,0.57,238.39
PEI_OCE_013,56,0,6,0,53,0.32,240.91
PEI_OCE_013,57,6,6,1,54,0.94,244.06
PEI_OCE_013,58,6,6,1,55,0.6,246.85
PEI_OCE_013,59,6,6,1,56,2.78,251.82
PEI_OCE_013,60,0,6,0,56,0.5,254.54
PEI_OCE_013,61,6,6,1,57,0.66,257.38
PEI_OCE_013,62,6,6,1,58,0.43,260.02
PEI_OCE_013,63,6,6,1,59,0.26,262.46
PEI_OCE_013,64,0,6,0,59,0.46,265.14
PEI_OCE_013,65,6,6,1,60,0.49,267.82
PEI_OCE_013,66,0,6,0,60,0.37,270.39
PEI_OCE_013,67,0,0,1,61,0.3,272.9
PEI_OCE_013,68,0,0,1,62,0.31,275.4
PEI_OCE_013,69,6,6,1,63,0.26,277.85
PEI_OCE_013,70,0,6,0,63,0.8,280.84
PEI_OCE_013,71,6,6,1,64,0.21,283.25
PEI_OCE_013,72,6,6,1,65,0.45,285.87
PEI_OCE_013,73,0,0,1,66,3.03,291.1
PEI_OCE_013,74,0,0,1,67,0.53,293.86
PEI_OCE_013,75,6,6,1,68,0.49,296.52
PEI_OCE_013,76,6,6,1,69,0.6,299.32
PEI_OCE_013,77,6,6,1,70,0.56,302.08
PEI_OCE_013,78,6,6,1,71,0.43,304.7
PEI_OCE_013,79,6,6,1,72,0.67,307.59
PEI_OCE_013,80,6,6,1,73,0.49,310.3
PEI_OCE_013,81,0,0,1,74,0.26,312.75
PEI_OCE_013,82,6,6,1,75,0.63,315.59
PEI_OCE_013,83,6,6,1,76,0.35,318.14
PEI_OCE_013,84,0,0,1,77,0.31,320.67
PEI_OCE_013,85,6,6,1,78,0.73,323.61
PEI_OCE_013,86,6,6,1,79,2.16,327.96
PEI_OCE_013,87,6,6,1,80,0.59,330.74
PEI_OCE_013,88,6,6,1,81,0.51,333.45
