id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
PIC_SER_052,100,6,6,1,0,1.33,40.25
PIC_SER_052,101,6,6,1,0,0.11,44.53
PIC_SER_052,102,6,0,0,0,5.71,54.42
PIC_SER_052,0,0,0,1,1,0.81,72.46
PIC_SER_052,1,6,6,1,2,1.43,76.08
PIC_SER_052,2,6,6,1,3,1.3,79.56
PIC_SER_052,3,6,6,1,4,0.85,82.6
PIC_SER_052,4,6,6,1,5,0.7,85.5
PIC_SER_052,5,6,6,1,6,0.21,87.9
PIC_SER_052,6,6,6,1,7,0.76,90.87
PIC_SER_052,7,0,6,0,7,0.47,93.54
PIC_SER_052,8,0,0,1,8,0.43,96.19
PIC_SER_052,9,0,6,0,8,2.08,100.47
PIC_SER_052,10,0,6,0,8,0.82,103.5
PIC_SER_052,11,6,6,1,9,0.72,106.41
PIC_SER_052,12,0,0,1,10,0.64,109.25
PIC_SER_052,13,0,6,0,10,0.69,112.13
PIC_SER_052,14,0,6,0,10,0.52,114.85
PIC_SER_052,15,0,6,0,10,0.78,117.8
PIC_SER_052,16,0,6,0,10,0.45,120.46
PIC_SER_052,17,6,6,1,11,0.56,123.22
PIC_SER_052,18,6,6,1,12,0.56,125.99
PIC_SER_052,19,0,0,1,13,0.45,128.6
PIC_SER_052,20,0,6,0,13,0.48,131.29
PIC_SER_052,21,0,6,0,13,0.65,134.14
PIC_SER_052,22,0,6,0,13,0.67,136.98
PIC_SER_052,23,0,6,0,13,0.57,139.75
PIC_SER_052,24,0,0,1,14,0.51,142.47
PIC_SER_052,25,6,6,1,15,0.73,145.37
PIC_SER_052,26,0,0,1,16,0.48,148.06
PIC_SER_052,27,0,6,0,16,0.62,150.88
PIC_SER_052,28,6,6,1,17,0.51,153.61
PIC_SER_052,29,6,6,1,18,0.69,156.48
PIC_SER_052,30,0,6,0,18,0.59,159.28
PIC_SER_052,31,0,0,1,19,0.5,161.99
PIC_SER_052,32,6,6,1,20,0.58,164.78
PIC_SER_052,33,0,0,1,21,0.56,167.53
PIC_SER_052,34,0,0,1,22,0.62,170.38
PIC_SER_052,35,0,6,0,22,0.41,172.99
PIC_SER_052,36,6,6,1,23,0.37,175.56
PIC_SER_052,37,0,0,1,24,0.6,178.38
PIC_SER_052,38,0,0,1,25,0.55,181.11
PIC_SER_052,39,6,6,1,26,0.57,183.9
PIC_SER_052,40,0,0,1,27,0.98,187.09
