id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
PIN_BRU_022,100,29,45,29,29,1,common,0,1.27,58.72
PIN_BRU_022,101,52,66,66,52,0,common,0,1.68,65.12
PIN_BRU_022,102,44,53,44,44,1,common,0,1.59,71.45
PIN_BRU_022,0,44,24,24,24,1,common,1,1.32,91.13
PIN_BRU_022,1,23,29,23,23,1,common,2,1.83,95.69
PIN_BRU_022,2,12,27,12,12,1,common,3,1.21,99.61
PIN_BRU_022,3,65,74,74,65,0,common,3,1.11,103.47
PIN_BRU_022,4,90,75,90,75,0,common,3,1.01,107.24
PIN_BRU_022,5,18,12,12,12,1,common,4,1.75,111.7
PIN_BRU_022,6,9,16,9,9,1,common,5,0.71,115.09
PIN_BRU_022,7,40,25,40,40,1,common,6,1.69,119.51
PIN_BRU_022,8,75,60,60,60,1,common,7,1.26,123.52
PIN_BRU_022,9,25,43,25,25,1,common,8,1.04,127.28
PIN_BRU_022,10,15,26,15,15,1,common,9,1.19,131.17
PIN_BRU_022,11,54,71,71,54,0,common,9,1.93,135.86
PIN_BRU_022,12,29,46,29,29,1,common,10,1.44,139.99
PIN_BRU_022,13,53,33,33,33,1,common,11,1.44,144.18
PIN_BRU_022,14,52,38,38,38,1,common,12,1.99,148.89
PIN_BRU_022,15,24,44,24,24,1,common,13,0.77,152.38
PIN_BRU_022,16,12,13,12,12,1,common,14,1.52,156.62
PIN_BRU_022,17,64,58,58,58,1,common,15,1.47,160.86
PIN_BRU_022,18,31,13,13,13,1,common,16,1.17,164.74
PIN_BRU_022,19,88,98,98,88,0,common,16,1.51,169.01
PIN_BRU_022,20,31,43,43,31,0,common,16,2.07,173.81
PIN_BRU_022,21,25,36,36,25,0,common,16,1.35,177.88
PIN_BRU_022,22,42,29,42,29,0,common,16,0.97,181.56
PIN_BRU_022,23,32,20,32,20,0,common,16,1.09,185.36
PIN_BRU_022,24,36,19,36,36,1,common,17,1.67,189.76
PIN_BRU_022,25,48,36,36,36,1,common,18,1.12,193.62
PIN_BRU_022,26,33,13,13,13,1,common,19,0.78,197.11
PIN_BRU_022,27,45,35,35,35,1,common,20,1.08,200.93
PIN_BRU_022,28,35,24,24,24,1,common,21,1.41,205.04
