id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
PRI_LOU_047,100,6,6,1,0,0.83,61.77
PRI_LOU_047,101,6,6,1,0,0.61,66.54
PRI_LOU_047,102,6,0,0,0,0.56,71.25
PRI_LOU_047,0,0,0,1,1,0.99,89.66
PRI_LOU_047,1,6,6,1,2,0.38,92.2
PRI_LOU_047,2,6,6,1,3,0.29,94.65
PRI_LOU_047,3,6,6,1,4,0.39,97.23
PRI_LOU_047,4,0,6,0,4,0.5,99.91
PRI_LOU_047,5,6,6,1,5,0.98,103.05
PRI_LOU_047,6,6,6,1,6,0.39,105.64
PRI_LOU_047,7,0,6,0,6,0.61,108.41
PRI_LOU_047,8,0,0,1,7,1.04,111.65
PRI_LOU_047,9,6,6,1,8,1.55,115.38
PRI_LOU_047,10,6,6,1,9,0.73,118.29
PRI_LOU_047,11,0,6,0,9,0.6,121.07
PRI_LOU_047,12,0,0,1,10,0.26,123.52
PRI_LOU_047,13,6,6,1,11,1.97,127.66
PRI_LOU_047,14,0,6,0,11,0.56,130.39
PRI_LOU_047,15,6,6,1,12,1.43,133.99
PRI_LOU_047,16,0,6,0,12,0.37,136.55
PRI_LOU_047,17,6,6,1,13,0.68,139.42
PRI_LOU_047,18,6,6,1,14,0.44,142.05
PRI_LOU_047,19,0,0,1,15,0.27,144.51
PRI_LOU_047,20,0,6,0,15,0.45,147.13
PRI_LOU_047,21,6,6,1,16,0.62,149.93
PRI_LOU_047,22,6,6,1,17,1.57,153.66
PRI_LOU_047,23,6,6,1,18,0.35,156.18
PRI_LOU_047,24,0,0,1,19,1.89,160.26
PRI_LOU_047,25,6,6,1,20,0.31,162.75
PRI_LOU_047,26,0,0,1,21,0.26,165.19
PRI_LOU_047,27,6,6,1,22,0.27,167.65
PRI_LOU_047,28,6,6,1,23,0.66,170.47
PRI_LOU_047,29,6,6,1,24,0.68,173.33
PRI_LOU_047,30,0,6,0,24,0.38,175.89
PRI_LOU_047,31,0,0,1,25,0.35,178.43
PRI_LOU_047,32,6,6,1,26,0.34,180.95
PRI_LOU_047,33,0,0,1,27,0.41,183.54
PRI_LOU_047,34,0,0,1,28,0.49,186.22
PRI_LOU_047,35,6,6,1,29,2.68,191.08
PRI_LOU_047,36,6,6,1,30,1.0,194.28
PRI_LOU_047,37,0,0,1,31,0.32,196.8
PRI_LOU_047,38,0,0,1,32,0.26,199.25
PRI_LOU_047,39,6,6,1,33,0.4,201.82
PRI_LOU_047,40,0,0,1,34,0.33,204.32
PRI_LOU_047,41,0,0,1,35,0.5,206.99
PRI_LOU_047,42,6,6,1,36,0.69,209.87
PRI_LOU_047,43,6,6,1,37,1.25,213.3
PRI_LOU_047,44,6,6,1,38,0.29,215.76
PRI_LOU_047,45,6,6,1,39,-0.0,217.94
PRI_LOU_047,46,6,6,1,40,0.5,220.6
PRI_LOU_047,47,6,6,1,41,0.35,223.11
PRI_LOU_047,48,0,0,1,42,0.21,225.52
PRI_LOU_047,49,0,0,1,43,0.26,227.95
PRI_LOU_047,50,0,0,1,44,0.11,230.25
PRI_LOU_047,51,6,6,1,45,0.45,232.86
PRI_LOU_047,52,6,6,1,46,0.56,235.6
PRI_LOU_047,53,6,6,1,47,0.73,238.53
PRI_LOU_047,54,6,6,1,48,1.54,242.25
PRI_LOU_047,55,0,6,0,48,0.42,244.84
PRI_LOU_047,56,6,6,1,49,0.97,248.0
PRI_LOU_047,57,6,6,1,50,0.83,251.03
PRI_LOU_047,58,6,6,1,51,1.58,254.79
PRI_LOU_047,59,6,6,1,52,0.28,257.27
PRI_LOU_047,60,0,6,0,52,0.35,259.81
PRI_LOU_047,61,0,6,0,52,0.86,262.83
PRI_LOU_047,62,6,6,1,53,0.53,265.55
PRI_LOU_047,63,6,6,1,54,5.19,272.9
PRI_LOU_047,64,6,6,1,55,0.68,275.76
PRI_LOU_047,65,6,6,1,56,1.24,279.17
PRI_LOU_047,66,6,6,1,57,0.51,281.86
PRI_LOU_047,67,0,0,1,58,0.18,284.21
PRI_LOU_047,68,0,0,1,59,0.26,286.64
PRI_LOU_047,69,6,6,1,60,0.6,289.41
PRI_LOU_047,70,6,6,1,61,0.8,292.38
PRI_LOU_047,71,6,6,1,62,0.28,294.83
PRI_LOU_047,72,6,6,1,63,0.26,297.27
PRI_LOU_047,73,0,0,1,64,0.24,299.69
PRI_LOU_047,74,0,0,1,65,0.18,302.05
PRI_LOU_047,75,6,6,1,66,0.29,304.5
PRI_LOU_047,76,6,6,1,67,0.45,307.13
PRI_LOU_047,77,6,6,1,68,0.26,309.56
PRI_LOU_047,78,6,6,1,69,0.46,312.19
PRI_LOU_047,79,6,6,1,70,0.42,314.77
PRI_LOU_047,80,6,6,1,71,0.78,317.72
PRI_LOU_047,81,0,0,1,72,1.53,321.41
PRI_LOU_047,82,6,6,1,73,0.61,324.19
PRI_LOU_047,83,6,6,1,74,1.48,327.86
PRI_LOU_047,84,0,0,1,75,0.36,330.39
PRI_LOU_047,85,0,6,0,75,0.5,333.07
PRI_LOU_047,86,6,6,1,76,0.39,335.62
PRI_LOU_047,87,6,6,1,77,0.48,338.28
PRI_LOU_047,88,6,6,1,78,0.33,340.8
PRI_LOU_047,89,6,6,1,79,0.43,343.39
PRI_LOU_047,90,0,0,1,80,0.29,345.87
PRI_LOU_047,91,6,6,1,81,2.73,350.75
PRI_LOU_047,92,6,6,1,82,0.84,353.77
PRI_LOU_047,93,6,6,1,83,0.84,356.79
PRI_LOU_047,94,6,6,1,84,0.62,359.59
PRI_LOU_047,95,6,6,1,85,1.15,362.9
PRI_LOU_047,96,6,6,1,86,0.75,365.83
PRI_LOU_047,97,0,0,1,87,0.39,368.4
PRI_LOU_047,98,0,0,1,88,0.31,370.89
PRI_LOU_047,99,0,6,0,88,1.22,374.3
