id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
RIC_NOE_056,100,6,6,1,0,1.1,35.69
RIC_NOE_056,101,6,6,1,0,0.84,40.7
RIC_NOE_056,102,6,0,0,0,0.71,45.56
RIC_NOE_056,0,0,0,1,1,0.93,64.22
RIC_NOE_056,1,6,6,1,2,0.58,66.95
RIC_NOE_056,2,6,6,1,3,0.48,69.61
RIC_NOE_056,3,6,6,1,4,0.52,72.3
RIC_NOE_056,4,6,6,1,5,0.41,74.94
RIC_NOE_056,5,6,6,1,6,0.73,77.86
RIC_NOE_056,6,6,6,1,7,0.5,80.56
RIC_NOE_056,7,6,6,1,8,0.57,83.31
RIC_NOE_056,8,0,0,1,9,0.47,86.01
RIC_NOE_056,9,6,6,1,10,0.33,88.52
RIC_NOE_056,10,6,6,1,11,0.51,91.23
RIC_NOE_056,11,6,6,1,12,0.36,93.77
RIC_NOE_056,12,0,0,1,13,0.3,96.25
RIC_NOE_056,13,6,6,1,14,0.4,98.83
RIC_NOE_056,14,6,6,1,15,0.86,101.85
RIC_NOE_056,15,0,6,0,15,0.4,104.44
RIC_NOE_056,16,6,6,1,16,0.31,106.95
RIC_NOE_056,17,6,6,1,17,0.78,109.93
RIC_NOE_056,18,6,6,1,18,0.55,112.68
RIC_NOE_056,19,0,0,1,19,0.3,115.18
RIC_NOE_056,20,6,6,1,20,0.56,117.92
RIC_NOE_056,21,6,6,1,21,0.44,120.51
RIC_NOE_056,22,6,6,1,22,0.47,123.18
RIC_NOE_056,23,6,6,1,23,0.53,125.89
RIC_NOE_056,24,0,0,1,24,0.3,128.38
RIC_NOE_056,25,6,6,1,25,0.24,130.82
RIC_NOE_056,26,0,0,1,26,0.32,133.34
RIC_NOE_056,27,6,6,1,27,0.48,136.0
RIC_NOE_056,28,6,6,1,28,0.56,138.73
RIC_NOE_056,29,6,6,1,29,0.26,141.2
RIC_NOE_056,30,6,6,1,30,0.24,143.63
RIC_NOE_056,31,0,0,1,31,0.31,146.15
RIC_NOE_056,32,6,6,1,32,0.21,148.53
RIC_NOE_056,33,0,0,1,33,0.26,150.97
RIC_NOE_056,34,0,0,1,34,1.69,154.86
RIC_NOE_056,35,6,6,1,35,0.28,157.34
RIC_NOE_056,36,6,6,1,36,0.48,160.01
RIC_NOE_056,37,0,0,1,37,0.23,162.45
RIC_NOE_056,38,0,0,1,38,0.25,164.89
RIC_NOE_056,39,6,6,1,39,0.41,167.51
RIC_NOE_056,40,0,0,1,40,0.6,170.32
RIC_NOE_056,41,0,0,1,41,0.23,172.75
RIC_NOE_056,42,6,6,1,42,0.09,175.04
RIC_NOE_056,43,6,6,1,43,0.29,177.49
RIC_NOE_056,44,6,6,1,44,0.26,179.94
RIC_NOE_056,45,6,6,1,45,0.35,182.47
RIC_NOE_056,46,6,6,1,46,0.2,184.86
RIC_NOE_056,47,0,6,0,46,0.33,187.37
RIC_NOE_056,48,0,0,1,47,0.33,189.89
RIC_NOE_056,49,0,0,1,48,0.26,192.35
RIC_NOE_056,50,0,0,1,49,0.25,194.81
RIC_NOE_056,51,6,6,1,50,0.26,197.27
RIC_NOE_056,52,6,6,1,51,0.2,199.64
RIC_NOE_056,53,6,6,1,52,0.21,202.03
RIC_NOE_056,54,6,6,1,53,0.28,204.49
RIC_NOE_056,55,6,6,1,54,0.27,206.93
RIC_NOE_056,56,6,6,1,55,0.21,209.33
RIC_NOE_056,57,6,6,1,56,0.21,211.72
RIC_NOE_056,58,6,6,1,57,0.24,214.17
RIC_NOE_056,59,6,6,1,58,0.83,217.18
RIC_NOE_056,60,6,6,1,59,0.39,219.73
RIC_NOE_056,61,6,6,1,60,0.23,222.16
RIC_NOE_056,62,6,6,1,61,0.3,224.64
RIC_NOE_056,63,6,6,1,62,0.52,227.34
RIC_NOE_056,64,6,6,1,63,0.69,230.23
RIC_NOE_056,65,6,6,1,64,0.45,232.87
RIC_NOE_056,66,6,6,1,65,0.35,235.39
RIC_NOE_056,67,0,0,1,66,0.29,237.88
RIC_NOE_056,68,0,0,1,67,0.19,240.29
RIC_NOE_056,69,6,6,1,68,0.25,242.73
RIC_NOE_056,70,6,6,1,69,0.53,245.46
RIC_NOE_056,71,6,6,1,70,0.39,248.03
RIC_NOE_056,72,6,6,1,71,0.25,250.48
RIC_NOE_056,73,0,0,1,72,0.23,252.89
RIC_NOE_056,74,0,0,1,73,0.29,255.39
RIC_NOE_056,75,6,6,1,74,0.29,257.85
RIC_NOE_056,76,6,6,1,75,0.31,260.34
RIC_NOE_056,77,6,6,1,76,0.26,262.79
RIC_NOE_056,78,6,6,1,77,0.26,265.22
RIC_NOE_056,79,6,6,1,78,0.57,267.98
RIC_NOE_056,80,6,6,1,79,0.33,270.51
RIC_NOE_056,81,0,0,1,80,0.46,273.13
RIC_NOE_056,82,6,6,1,81,0.31,275.62
RIC_NOE_056,83,6,6,1,82,0.28,278.08
RIC_NOE_056,84,0,0,1,83,0.6,280.86
RIC_NOE_056,85,0,6,0,83,0.4,283.44
RIC_NOE_056,86,6,6,1,84,0.34,285.98
RIC_NOE_056,87,6,6,1,85,0.27,288.43
RIC_NOE_056,88,6,6,1,86,0.36,290.99
RIC_NOE_056,89,6,6,1,87,0.21,293.4
RIC_NOE_056,90,0,0,1,88,0.24,295.83
RIC_NOE_056,91,0,6,0,88,0.63,298.68
RIC_NOE_056,92,6,6,1,89,0.37,301.23
RIC_NOE_056,93,6,6,1,90,0.6,304.01
RIC_NOE_056,94,6,6,1,91,0.3,306.51
RIC_NOE_056,95,6,6,1,92,0.36,309.07
RIC_NOE_056,96,6,6,1,93,0.2,311.48
RIC_NOE_056,97,0,0,1,94,0.24,313.94
RIC_NOE_056,98,0,0,1,95,0.32,316.44
RIC_NOE_056,99,6,6,1,96,0.3,318.93
