id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
ROM_MON_006,100,29,45,29,29,1,common,0,2.1,22.84
ROM_MON_006,101,52,66,52,52,1,common,0,2.26,29.87
ROM_MON_006,102,53,44,44,44,1,common,0,1.66,36.32
ROM_MON_006,0,24,44,24,24,1,common,1,2.47,57.99
ROM_MON_006,1,29,23,23,23,1,common,2,2.39,63.12
ROM_MON_006,2,12,27,12,12,1,common,3,0.96,66.77
ROM_MON_006,3,74,65,65,65,1,common,4,2.02,71.53
ROM_MON_006,4,90,75,75,75,1,common,5,1.53,75.83
ROM_MON_006,5,18,12,18,12,0,common,5,4.35,82.89
ROM_MON_006,6,9,16,9,9,1,common,6,0.87,86.46
ROM_MON_006,7,40,25,40,40,1,common,7,1.41,90.58
ROM_MON_006,8,60,75,60,60,1,common,8,1.97,95.32
ROM_MON_006,9,43,25,25,25,1,common,9,1.11,99.16
ROM_MON_006,10,15,26,15,15,1,common,10,0.72,102.6
ROM_MON_006,11,71,54,54,54,1,common,11,1.02,106.38
ROM_MON_006,12,46,29,29,29,1,common,12,1.11,110.2
ROM_MON_006,13,33,53,33,33,1,common,13,1.6,114.54
ROM_MON_006,14,38,52,38,38,1,common,14,1.02,118.33
ROM_MON_006,15,44,24,24,24,1,common,15,0.9,121.96
ROM_MON_006,16,12,13,12,12,1,common,16,0.73,125.42
ROM_MON_006,17,58,64,58,58,1,common,17,2.96,131.12
ROM_MON_006,18,31,13,13,13,1,common,18,0.91,134.76
ROM_MON_006,19,98,88,98,88,0,common,18,1.06,138.59
ROM_MON_006,20,31,43,31,31,1,common,19,2.36,143.67
ROM_MON_006,21,25,36,25,25,1,common,20,3.45,149.81
ROM_MON_006,22,42,29,29,29,1,common,21,1.08,153.61
ROM_MON_006,23,32,20,20,20,1,common,22,0.76,157.07
ROM_MON_006,24,36,19,36,36,1,common,23,1.27,161.06
ROM_MON_006,25,36,48,36,36,1,common,24,1.15,164.97
ROM_MON_006,26,13,33,13,13,1,common,25,0.81,168.48
ROM_MON_006,27,35,45,35,35,1,common,26,0.94,172.16
ROM_MON_006,28,35,24,24,24,1,common,27,0.77,175.63
ROM_MON_006,29,45,28,28,28,1,common,28,0.82,179.18
ROM_MON_006,30,30,13,13,13,1,common,29,0.61,182.52
ROM_MON_006,31,17,36,36,36,1,common,30,2.97,188.2
ROM_MON_006,32,74,62,62,62,1,common,31,0.98,191.94
ROM_MON_006,33,31,26,26,26,1,common,32,0.9,195.56
ROM_MON_006,34,38,28,28,28,1,common,33,0.73,199.08
ROM_MON_006,35,72,81,81,72,0,common,33,1.42,203.25
ROM_MON_006,36,16,21,16,16,1,common,34,1.65,207.62
ROM_MON_006,37,21,36,21,36,0,common,34,1.02,211.37
ROM_MON_006,38,16,36,16,16,1,common,35,1.41,215.51
ROM_MON_006,39,16,8,8,8,1,common,36,1.06,219.29
ROM_MON_006,40,18,12,12,12,1,common,37,3.61,225.62
ROM_MON_006,41,76,67,67,67,1,common,38,2.61,231.0
ROM_MON_006,42,84,92,92,84,0,common,38,1.1,234.87
ROM_MON_006,43,34,14,14,14,1,common,39,1.16,238.76
