id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
ROM_MON_006,100,6,6,1,0,0.61,11.63
ROM_MON_006,101,6,6,1,0,0.96,16.76
ROM_MON_006,102,6,0,0,0,0.42,21.37
ROM_MON_006,0,0,0,1,1,0.76,53.18
ROM_MON_006,1,6,6,1,2,0.9,56.25
ROM_MON_006,2,6,6,1,3,0.42,58.86
ROM_MON_006,3,6,6,1,4,0.58,61.63
ROM_MON_006,4,6,6,1,5,0.45,64.26
ROM_MON_006,5,6,6,1,6,0.51,66.95
ROM_MON_006,6,0,6,0,6,0.36,69.5
ROM_MON_006,7,6,6,1,7,1.53,73.21
ROM_MON_006,8,0,0,1,8,0.38,75.78
ROM_MON_006,9,6,6,1,9,0.5,78.45
ROM_MON_006,10,6,6,1,10,0.33,80.97
ROM_MON_006,11,6,6,1,11,0.4,83.57
ROM_MON_006,12,0,0,1,12,0.6,86.36
ROM_MON_006,13,6,6,1,13,0.37,88.92
ROM_MON_006,14,6,6,1,14,0.31,91.43
ROM_MON_006,15,6,6,1,15,0.19,93.79
ROM_MON_006,16,6,6,1,16,0.26,96.25
ROM_MON_006,17,6,6,1,17,0.5,98.93
ROM_MON_006,18,6,6,1,18,0.6,101.72
ROM_MON_006,19,0,0,1,19,0.3,104.22
ROM_MON_006,20,0,6,0,19,0.36,106.77
ROM_MON_006,21,6,6,1,20,0.39,109.34
ROM_MON_006,22,6,6,1,21,0.35,111.89
ROM_MON_006,23,0,6,0,21,0.32,114.39
ROM_MON_006,24,0,0,1,22,0.27,116.86
ROM_MON_006,25,0,6,0,22,0.36,119.42
ROM_MON_006,26,0,0,1,23,0.41,122.01
ROM_MON_006,27,6,6,1,24,0.56,124.77
ROM_MON_006,28,6,6,1,25,0.3,127.25
ROM_MON_006,29,6,6,1,26,0.56,130.0
ROM_MON_006,30,0,6,0,26,0.29,132.5
ROM_MON_006,31,0,0,1,27,0.31,135.02
ROM_MON_006,32,6,6,1,28,1.02,138.22
ROM_MON_006,33,0,0,1,29,0.31,140.72
ROM_MON_006,34,0,0,1,30,0.25,143.17
ROM_MON_006,35,6,6,1,31,1.01,146.38
ROM_MON_006,36,6,6,1,32,0.32,148.9
ROM_MON_006,37,0,0,1,33,0.27,151.36
ROM_MON_006,38,0,0,1,34,0.26,153.83
ROM_MON_006,39,6,6,1,35,0.84,156.87
ROM_MON_006,40,0,0,1,36,0.32,159.39
ROM_MON_006,41,0,0,1,37,0.32,161.91
ROM_MON_006,42,0,6,0,37,0.51,164.61
ROM_MON_006,43,0,6,0,37,0.25,167.06
ROM_MON_006,44,6,6,1,38,0.42,169.67
ROM_MON_006,45,6,6,1,39,0.36,172.21
ROM_MON_006,46,0,6,0,39,0.33,174.74
ROM_MON_006,47,0,6,0,39,0.34,177.24
ROM_MON_006,48,0,0,1,40,0.27,179.69
ROM_MON_006,49,0,0,1,41,0.31,182.2
ROM_MON_006,50,0,0,1,42,0.31,184.7
ROM_MON_006,51,0,6,0,42,0.32,187.21
ROM_MON_006,52,6,6,1,43,0.3,189.69
ROM_MON_006,53,6,6,1,44,0.25,192.2
ROM_MON_006,54,6,6,1,45,0.38,194.77
ROM_MON_006,55,6,6,1,46,0.33,197.36
ROM_MON_006,56,0,6,0,46,0.32,199.88
ROM_MON_006,57,0,6,0,46,1.33,203.41
ROM_MON_006,58,6,6,1,47,0.26,205.86
ROM_MON_006,59,6,6,1,48,0.79,208.84
ROM_MON_006,60,6,6,1,49,0.29,211.35
ROM_MON_006,61,6,6,1,50,0.4,213.93
ROM_MON_006,62,6,6,1,51,0.42,216.54
ROM_MON_006,63,6,6,1,52,0.56,219.28
ROM_MON_006,64,6,6,1,53,0.39,221.87
ROM_MON_006,65,6,6,1,54,0.35,224.42
ROM_MON_006,66,6,6,1,55,0.24,226.83
ROM_MON_006,67,0,0,1,56,0.29,229.31
ROM_MON_006,68,0,0,1,57,0.25,231.75
ROM_MON_006,69,6,6,1,58,0.23,234.15
ROM_MON_006,70,6,6,1,59,0.26,236.64
ROM_MON_006,71,6,6,1,60,0.7,239.54
ROM_MON_006,72,6,6,1,61,0.88,242.62
ROM_MON_006,73,0,0,1,62,0.3,245.11
ROM_MON_006,74,0,0,1,63,1.67,248.98
ROM_MON_006,75,6,6,1,64,0.64,251.81
ROM_MON_006,76,6,6,1,65,0.85,254.86
ROM_MON_006,77,0,6,0,65,0.7,257.76
