id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
SAN_AUD_050,100,45,29,29,29,1,common,0,1.56,171.13
SAN_AUD_050,101,52,66,52,52,1,common,0,1.53,177.41
SAN_AUD_050,102,53,44,53,44,0,common,0,1.77,183.92
SAN_AUD_050,0,44,24,24,24,1,common,1,1.61,205.78
SAN_AUD_050,1,29,23,23,23,1,common,2,1.47,210.0
SAN_AUD_050,2,27,12,12,12,1,common,3,2.81,215.53
SAN_AUD_050,3,65,74,65,65,1,common,4,1.58,219.88
SAN_AUD_050,4,90,75,75,75,1,common,5,1.17,223.8
SAN_AUD_050,5,18,12,12,12,1,common,6,0.8,227.38
SAN_AUD_050,6,9,16,9,9,1,common,7,2.58,232.68
SAN_AUD_050,7,25,40,40,40,1,common,8,1.25,236.65
SAN_AUD_050,8,75,60,60,60,1,common,9,0.99,240.42
SAN_AUD_050,9,25,43,25,25,1,common,10,0.95,244.11
SAN_AUD_050,10,15,26,26,15,0,common,10,1.0,247.85
SAN_AUD_050,11,54,71,71,54,0,common,10,1.91,252.51
SAN_AUD_050,12,46,29,29,29,1,common,11,0.97,256.17
SAN_AUD_050,13,33,53,53,33,0,common,11,1.42,260.3
SAN_AUD_050,14,52,38,38,38,1,common,12,0.95,264.0
SAN_AUD_050,15,24,44,44,24,0,common,12,1.76,268.51
SAN_AUD_050,16,13,12,13,12,0,common,12,1.32,272.57
SAN_AUD_050,17,58,64,58,58,1,common,13,1.16,276.49
SAN_AUD_050,18,31,13,13,13,1,common,14,2.1,281.3
SAN_AUD_050,19,88,98,88,88,1,common,15,1.47,285.56
SAN_AUD_050,20,31,43,31,31,1,common,16,1.61,289.89
SAN_AUD_050,21,36,25,25,25,1,common,17,0.75,293.36
SAN_AUD_050,22,42,29,29,29,1,common,18,1.15,297.25
SAN_AUD_050,23,32,20,20,20,1,common,19,2.02,301.97
SAN_AUD_050,24,36,19,36,36,1,common,20,1.53,306.24
SAN_AUD_050,25,36,48,36,36,1,common,21,1.31,310.28
SAN_AUD_050,26,33,13,13,13,1,common,22,1.46,314.44
SAN_AUD_050,27,35,45,35,35,1,common,23,1.07,318.27
SAN_AUD_050,28,35,24,24,24,1,common,24,0.88,321.85
SAN_AUD_050,29,28,45,28,28,1,common,25,0.98,325.58
SAN_AUD_050,30,13,30,13,13,1,common,26,1.27,329.59
SAN_AUD_050,31,17,36,36,36,1,common,27,1.09,333.39
SAN_AUD_050,32,74,62,62,62,1,common,28,0.84,336.98
SAN_AUD_050,33,26,31,26,26,1,common,29,3.24,342.94
SAN_AUD_050,34,38,28,28,28,1,common,30,2.05,347.73
SAN_AUD_050,35,81,72,72,72,1,common,31,1.44,351.94
SAN_AUD_050,36,21,16,21,16,0,common,31,0.81,355.48
SAN_AUD_050,37,36,21,36,36,1,common,32,0.89,359.09
SAN_AUD_050,38,16,36,16,16,1,common,33,1.38,363.17
SAN_AUD_050,39,16,8,8,8,1,common,34,0.86,366.73
SAN_AUD_050,40,12,18,12,12,1,common,35,1.06,370.49
SAN_AUD_050,41,67,76,76,67,0,common,35,0.95,374.2
SAN_AUD_050,42,92,84,84,84,1,common,36,0.9,377.85
SAN_AUD_050,43,14,34,14,14,1,common,37,0.94,381.52
SAN_AUD_050,44,14,9,9,9,1,common,38,0.8,385.02
SAN_AUD_050,45,83,103,83,83,1,common,39,0.77,388.56
SAN_AUD_050,46,33,23,33,23,0,common,39,1.49,392.76
SAN_AUD_050,47,28,19,28,28,1,common,40,1.16,396.63
SAN_AUD_050,48,41,30,41,30,0,common,40,1.17,400.5
SAN_AUD_050,49,53,35,35,35,1,common,41,1.01,404.25
SAN_AUD_050,50,34,33,33,33,1,pro,42,1.35,408.3
SAN_AUD_050,51,86,81,81,81,1,pro,43,1.1,412.17
SAN_AUD_050,52,52,33,33,33,1,pro,44,2.43,417.29
SAN_AUD_050,53,44,30,30,30,1,pro,45,0.94,420.97
SAN_AUD_050,54,35,30,35,30,0,pro,45,1.25,424.92
SAN_AUD_050,55,20,52,52,52,1,pro,46,2.98,430.63
SAN_AUD_050,56,31,52,52,52,1,pro,47,2.65,436.02
SAN_AUD_050,57,24,32,32,24,0,pro,47,1.03,439.78
SAN_AUD_050,58,60,35,35,60,0,pro,47,1.03,443.51
SAN_AUD_050,59,27,32,32,32,1,pro,48,0.82,447.07
SAN_AUD_050,60,20,31,20,20,1,pro,49,1.91,451.71
SAN_AUD_050,61,23,29,23,23,1,pro,50,1.12,455.59
SAN_AUD_050,62,24,14,24,24,1,pro,51,0.68,459.01
SAN_AUD_050,63,32,51,32,32,1,pro,52,0.92,462.67
SAN_AUD_050,64,11,30,11,11,1,pro,53,0.6,465.98
SAN_AUD_050,65,53,72,53,53,1,pro,54,0.95,469.7
SAN_AUD_050,66,51,41,41,41,1,pro,55,0.9,473.37
