id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
SMA_ZOU_008,100,29,45,29,29,1,common,0,5.72,111.09
SMA_ZOU_008,101,52,66,66,52,0,common,0,3.73,119.62
SMA_ZOU_008,102,44,53,44,44,1,common,0,2.64,127.01
SMA_ZOU_008,0,44,24,44,24,0,common,0,4.71,151.72
SMA_ZOU_008,1,23,29,23,23,1,common,1,1.65,156.13
SMA_ZOU_008,2,12,27,12,12,1,common,2,1.64,160.53
SMA_ZOU_008,3,65,74,65,65,1,common,3,1.13,164.45
SMA_ZOU_008,4,90,75,90,75,0,common,3,1.41,168.67
SMA_ZOU_008,5,18,12,18,12,0,common,3,1.56,172.97
SMA_ZOU_008,6,16,9,16,9,0,common,3,1.14,176.84
SMA_ZOU_008,7,40,25,40,40,1,common,4,1.08,180.66
SMA_ZOU_008,8,60,75,60,60,1,common,5,0.8,184.24
SMA_ZOU_008,9,43,25,43,25,0,common,5,0.96,188.0
SMA_ZOU_008,10,26,15,26,15,0,common,5,1.21,191.93
SMA_ZOU_008,11,71,54,71,54,0,common,5,0.76,195.48
SMA_ZOU_008,12,29,46,46,29,0,common,5,2.45,200.65
SMA_ZOU_008,13,33,53,33,33,1,common,6,2.91,206.31
SMA_ZOU_008,14,52,38,52,38,0,common,6,1.31,210.4
SMA_ZOU_008,15,44,24,44,24,0,common,6,1.04,214.18
SMA_ZOU_008,16,12,13,13,12,0,common,6,3.09,220.03
SMA_ZOU_008,17,64,58,64,58,0,common,6,1.71,224.5
SMA_ZOU_008,18,13,31,13,13,1,common,7,0.87,228.13
SMA_ZOU_008,19,98,88,98,88,0,common,7,1.17,232.09
SMA_ZOU_008,20,31,43,31,31,1,common,8,1.89,236.76
SMA_ZOU_008,21,36,25,36,25,0,common,8,1.22,240.71
SMA_ZOU_008,22,29,42,42,29,0,common,8,2.89,246.33
SMA_ZOU_008,23,32,20,32,20,0,common,8,1.28,250.32
SMA_ZOU_008,24,19,36,19,36,0,common,8,1.33,254.4
SMA_ZOU_008,25,36,48,48,36,0,common,8,2.61,259.8
SMA_ZOU_008,26,13,33,13,13,1,common,9,1.31,263.85
SMA_ZOU_008,27,35,45,35,35,1,common,10,5.13,271.77
SMA_ZOU_008,28,24,35,24,24,1,common,11,1.59,276.08
SMA_ZOU_008,29,45,28,45,28,0,common,11,1.71,280.56
SMA_ZOU_008,30,13,30,13,13,1,common,12,0.91,284.21
SMA_ZOU_008,31,17,36,17,36,0,common,12,1.12,288.07
SMA_ZOU_008,32,74,62,74,62,0,common,12,1.37,292.23
SMA_ZOU_008,33,26,31,26,26,1,common,13,2.12,297.09
SMA_ZOU_008,34,38,28,38,28,0,common,13,2.63,302.5
SMA_ZOU_008,35,72,81,72,72,1,common,14,1.07,306.37
SMA_ZOU_008,36,16,21,16,16,1,common,15,0.87,310.0
SMA_ZOU_008,37,21,36,21,36,0,common,15,1.15,313.89
SMA_ZOU_008,38,36,16,36,16,0,common,15,1.46,318.12
SMA_ZOU_008,39,8,16,8,8,1,common,16,1.23,322.09
SMA_ZOU_008,40,12,18,12,12,1,common,17,1.02,325.87
SMA_ZOU_008,41,76,67,76,67,0,common,17,1.09,329.74
SMA_ZOU_008,42,84,92,84,84,1,common,18,1.81,334.35
SMA_ZOU_008,43,34,14,34,14,0,common,18,1.25,338.35
SMA_ZOU_008,44,14,9,14,9,0,common,18,9.47,350.56
