,id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
0,SMA_ZOU_008,100,6,6,1,0,1.14,99.25
1,SMA_ZOU_008,101,6,6,1,0,0.66,104.08
2,SMA_ZOU_008,102,6,0,0,0,0.59,108.87
3,SMA_ZOU_008,0,0,0,1,1,1.8,139.28
4,SMA_ZOU_008,1,0,6,0,1,0.86,142.35
5,SMA_ZOU_008,2,0,6,0,1,0.17,144.73
6,SMA_ZOU_008,3,0,6,0,1,1.13,148.09
7,SMA_ZOU_008,4,6,6,1,2,0.98,151.27
8,SMA_ZOU_008,5,6,6,1,3,2.61,156.11
9,SMA_ZOU_008,6,0,6,0,3,0.81,159.13
10,SMA_ZOU_008,7,0,6,0,3,0.58,161.94
11,SMA_ZOU_008,8,0,0,1,4,0.57,164.73
12,SMA_ZOU_008,9,6,6,1,5,0.58,167.54
13,SMA_ZOU_008,10,0,6,0,5,0.64,170.4
14,SMA_ZOU_008,11,6,6,1,6,0.55,173.18
15,SMA_ZOU_008,12,0,0,1,7,0.4,175.8
16,SMA_ZOU_008,13,6,6,1,8,1.07,179.12
17,SMA_ZOU_008,14,6,6,1,9,0.57,181.91
18,SMA_ZOU_008,15,6,6,1,10,1.1,185.23
19,SMA_ZOU_008,16,0,6,0,10,0.58,188.02
20,SMA_ZOU_008,17,6,6,1,11,0.45,190.69
21,SMA_ZOU_008,18,6,6,1,12,0.65,193.53
22,SMA_ZOU_008,19,0,0,1,13,0.42,196.19
23,SMA_ZOU_008,20,6,6,1,14,0.72,199.13
24,SMA_ZOU_008,21,6,6,1,15,0.44,201.79
25,SMA_ZOU_008,22,6,6,1,16,0.63,204.62
26,SMA_ZOU_008,23,0,6,0,16,0.51,207.36
27,SMA_ZOU_008,24,0,0,1,17,0.91,210.49
28,SMA_ZOU_008,25,6,6,1,18,0.67,213.37
29,SMA_ZOU_008,26,0,0,1,19,0.71,216.3
30,SMA_ZOU_008,27,6,6,1,20,0.47,218.99
31,SMA_ZOU_008,28,6,6,1,21,0.7,221.9
32,SMA_ZOU_008,29,6,6,1,22,0.7,224.81
33,SMA_ZOU_008,30,0,6,0,22,0.37,227.38
34,SMA_ZOU_008,31,0,0,1,23,0.36,229.94
35,SMA_ZOU_008,32,6,6,1,24,1.93,234.07
36,SMA_ZOU_008,33,0,0,1,25,0.71,237.01
37,SMA_ZOU_008,34,0,0,1,26,0.63,239.84
38,SMA_ZOU_008,35,0,6,0,26,4.01,246.06
39,SMA_ZOU_008,36,6,6,1,27,0.73,248.99
40,SMA_ZOU_008,37,0,0,1,28,1.11,252.32
41,SMA_ZOU_008,38,0,0,1,29,0.73,255.29
42,SMA_ZOU_008,39,6,6,1,30,0.77,258.28
43,SMA_ZOU_008,40,0,0,1,31,0.34,260.85
44,SMA_ZOU_008,41,0,0,1,32,0.58,263.66
45,SMA_ZOU_008,42,6,6,1,33,0.37,266.23
46,SMA_ZOU_008,43,0,6,0,33,0.39,268.84
47,SMA_ZOU_008,44,6,6,1,34,0.45,271.51
48,SMA_ZOU_008,45,0,6,0,34,0.34,274.05
49,SMA_ZOU_008,46,0,6,0,34,1.03,277.28
50,SMA_ZOU_008,47,0,6,0,34,0.63,280.11
51,SMA_ZOU_008,48,0,0,1,35,0.42,282.75
52,SMA_ZOU_008,49,0,0,1,36,0.47,285.43
53,SMA_ZOU_008,50,0,0,1,37,0.6,288.26
54,SMA_ZOU_008,51,6,6,1,38,0.32,290.8
55,SMA_ZOU_008,52,6,6,1,39,1.28,294.31
56,SMA_ZOU_008,53,6,6,1,40,0.35,296.88
57,SMA_ZOU_008,54,6,6,1,41,1.67,300.76
58,SMA_ZOU_008,55,6,6,1,42,0.9,303.86
59,SMA_ZOU_008,56,0,6,0,42,0.56,306.63
60,SMA_ZOU_008,57,6,6,1,43,0.34,309.19
61,SMA_ZOU_008,58,6,6,1,44,0.63,312.03
62,SMA_ZOU_008,59,6,6,1,45,2.05,316.28
63,SMA_ZOU_008,60,0,6,0,45,0.49,318.97
64,SMA_ZOU_008,61,6,6,1,46,0.75,321.91
65,SMA_ZOU_008,62,0,6,0,46,0.61,324.72
66,SMA_ZOU_008,63,6,6,1,47,0.44,327.37
67,SMA_ZOU_008,64,6,6,1,48,0.52,330.09
68,SMA_ZOU_008,65,0,6,0,48,0.38,332.66
69,SMA_ZOU_008,66,0,6,0,48,0.41,335.27
70,SMA_ZOU_008,67,0,0,1,49,0.32,337.79
71,SMA_ZOU_008,68,0,0,1,50,0.4,340.4
72,SMA_ZOU_008,69,6,6,1,51,0.38,342.98
73,SMA_ZOU_008,70,6,6,1,52,0.87,346.04
74,SMA_ZOU_008,71,6,6,1,53,0.53,348.76
75,SMA_ZOU_008,72,0,6,0,53,0.39,351.34
76,SMA_ZOU_008,73,0,0,1,54,0.5,354.03
