id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
SMI_MAR_028,100,45,29,29,29,1,common,0,5.24,68.19
SMI_MAR_028,101,52,66,66,52,0,common,0,4.94,77.86
SMI_MAR_028,102,53,44,44,44,1,common,0,3.19,85.8
SMI_MAR_028,0,24,44,24,24,1,common,1,2.04,109.67
SMI_MAR_028,1,29,23,29,23,0,common,1,4.11,116.52
SMI_MAR_028,2,27,12,12,12,1,common,2,1.91,121.13
SMI_MAR_028,3,74,65,74,65,0,common,2,2.18,126.05
SMI_MAR_028,4,90,75,75,75,1,common,3,1.89,130.69
SMI_MAR_028,5,12,18,18,12,0,common,3,2.39,135.82
SMI_MAR_028,6,9,16,9,9,1,common,4,1.65,140.17
SMI_MAR_028,7,25,40,25,40,0,common,4,4.07,146.97
SMI_MAR_028,8,75,60,60,60,1,common,5,2.06,151.83
SMI_MAR_028,9,25,43,25,25,1,common,6,1.48,156.03
SMI_MAR_028,10,15,26,15,15,1,common,7,4.64,163.38
SMI_MAR_028,11,54,71,54,54,1,common,8,1.49,167.63
SMI_MAR_028,12,29,46,29,29,1,common,9,3.05,173.38
SMI_MAR_028,13,53,33,33,33,1,common,10,5.72,181.86
SMI_MAR_028,14,38,52,38,38,1,common,11,1.56,186.18
SMI_MAR_028,15,24,44,24,24,1,common,12,1.27,190.18
SMI_MAR_028,16,12,13,12,12,1,common,13,0.74,193.61
SMI_MAR_028,17,58,64,64,58,0,common,13,1.85,198.22
SMI_MAR_028,18,13,31,13,13,1,common,14,1.11,202.07
SMI_MAR_028,19,98,88,98,88,0,common,14,1.62,206.47
SMI_MAR_028,20,43,31,31,31,1,common,15,1.47,210.71
SMI_MAR_028,21,25,36,25,25,1,common,16,4.23,217.62
SMI_MAR_028,22,29,42,29,29,1,common,17,1.48,221.79
SMI_MAR_028,23,20,32,20,20,1,common,18,1.79,226.29
SMI_MAR_028,24,19,36,36,36,1,common,19,1.41,230.43
SMI_MAR_028,25,48,36,36,36,1,common,20,2.26,235.43
SMI_MAR_028,26,33,13,13,13,1,common,21,1.83,239.97
SMI_MAR_028,27,45,35,35,35,1,common,22,1.67,244.43
SMI_MAR_028,28,35,24,24,24,1,common,23,2.23,249.35
SMI_MAR_028,29,45,28,28,28,1,common,24,1.18,253.25
SMI_MAR_028,30,13,30,13,13,1,common,25,1.34,257.31
SMI_MAR_028,31,36,17,36,36,1,common,26,2.11,262.11
SMI_MAR_028,32,74,62,74,62,0,common,26,2.83,267.72
SMI_MAR_028,33,26,31,31,26,0,common,26,4.25,274.67
SMI_MAR_028,34,28,38,28,28,1,common,27,0.81,278.21
SMI_MAR_028,35,81,72,72,72,1,common,28,1.76,282.71
SMI_MAR_028,36,16,21,16,16,1,common,29,3.72,289.14
SMI_MAR_028,37,21,36,36,36,1,common,30,2.84,294.7
SMI_MAR_028,38,36,16,16,16,1,common,31,1.41,298.81
SMI_MAR_028,39,8,16,8,8,1,common,32,0.73,302.24
SMI_MAR_028,40,12,18,12,12,1,common,33,0.44,305.38
SMI_MAR_028,41,67,76,76,67,0,common,33,1.7,309.86
SMI_MAR_028,42,84,92,92,84,0,common,33,0.94,313.58
SMI_MAR_028,43,34,14,14,14,1,common,34,1.25,317.58
SMI_MAR_028,44,9,14,9,9,1,common,35,0.86,321.12
SMI_MAR_028,45,103,83,103,83,0,common,35,3.73,327.6
SMI_MAR_028,46,23,33,23,23,1,common,36,3.62,333.93
SMI_MAR_028,47,28,19,28,28,1,common,37,1.37,338.01
SMI_MAR_028,48,41,30,30,30,1,common,38,1.27,341.96
SMI_MAR_028,49,53,35,35,35,1,common,39,4.0,348.69
SMI_MAR_028,50,34,33,33,33,1,common,40,4.22,355.61
SMI_MAR_028,51,81,86,81,81,1,common,41,2.64,361.02
SMI_MAR_028,52,33,52,33,33,1,common,42,5.73,369.49
SMI_MAR_028,53,30,44,30,30,1,common,43,2.84,375.05
SMI_MAR_028,54,30,35,30,30,1,common,44,1.53,379.29
SMI_MAR_028,55,52,20,52,52,1,common,45,3.12,385.13
SMI_MAR_028,56,52,31,52,52,1,common,46,1.46,389.35
SMI_MAR_028,57,32,24,32,24,0,common,46,1.3,393.34
SMI_MAR_028,58,35,60,60,60,1,common,47,1.06,397.12
SMI_MAR_028,59,32,27,32,32,1,common,48,1.12,400.96
SMI_MAR_028,60,20,31,20,20,1,common,49,2.53,406.2
SMI_MAR_028,61,29,23,29,23,0,common,49,1.78,410.74
SMI_MAR_028,62,14,24,24,24,1,common,50,1.78,415.24
SMI_MAR_028,63,51,32,32,32,1,common,51,1.37,419.36
SMI_MAR_028,64,11,30,11,11,1,common,52,0.76,422.82
SMI_MAR_028,65,53,72,53,53,1,common,53,1.49,427.05
SMI_MAR_028,66,41,51,51,41,0,common,53,2.01,431.82
SMI_MAR_028,67,42,26,26,26,1,common,54,1.14,435.71
SMI_MAR_028,68,48,23,48,48,1,common,55,2.19,440.61
SMI_MAR_028,69,30,56,56,56,1,common,56,4.44,447.78
SMI_MAR_028,70,43,62,43,43,1,common,57,1.75,452.28
SMI_MAR_028,71,50,44,44,44,1,common,58,1.52,456.55
SMI_MAR_028,72,20,14,20,20,1,common,59,1.9,461.19
SMI_MAR_028,73,26,32,26,26,1,common,60,1.65,465.53
SMI_MAR_028,74,39,19,19,19,1,common,61,1.58,469.83
SMI_MAR_028,75,24,14,24,24,1,common,62,1.11,473.64
SMI_MAR_028,76,55,70,55,55,1,common,63,1.15,477.56
SMI_MAR_028,77,6,15,6,6,1,common,64,0.54,480.78
SMI_MAR_028,78,44,31,31,31,1,common,65,1.24,484.75
SMI_MAR_028,79,60,28,28,60,0,common,65,6.08,493.58
SMI_MAR_028,80,20,31,20,20,1,common,66,2.28,498.59
SMI_MAR_028,81,23,36,36,36,1,common,67,1.55,502.85
SMI_MAR_028,82,80,63,63,63,1,common,68,2.03,507.6
SMI_MAR_028,83,8,28,8,8,1,common,69,0.76,511.05
SMI_MAR_028,84,21,32,21,32,0,common,69,2.53,516.31
SMI_MAR_028,85,29,41,29,29,1,common,70,1.27,520.26
SMI_MAR_028,86,22,40,22,40,0,common,70,1.93,524.92
SMI_MAR_028,87,27,14,14,14,1,common,71,4.25,531.91
SMI_MAR_028,88,48,32,48,48,1,common,72,1.16,535.82
SMI_MAR_028,89,29,42,29,29,1,common,73,1.08,539.64
SMI_MAR_028,90,92,81,81,81,1,common,74,0.94,543.35
SMI_MAR_028,91,22,20,22,20,0,common,74,3.04,549.12
SMI_MAR_028,92,45,32,32,32,1,common,75,1.17,553.03
SMI_MAR_028,93,33,49,33,33,1,common,76,1.18,556.91
SMI_MAR_028,94,58,41,41,41,1,common,77,2.9,562.58
SMI_MAR_028,95,36,22,36,36,1,common,78,1.65,566.97
SMI_MAR_028,96,83,77,83,77,0,common,78,1.63,571.35
SMI_MAR_028,97,62,68,68,62,0,common,78,1.9,575.98
SMI_MAR_028,98,22,17,17,17,1,common,79,1.8,580.49
SMI_MAR_028,99,18,29,18,18,1,common,80,1.55,584.76
