id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
SMI_MAR_028,100,6,6,1,0,1.47,30.77
SMI_MAR_028,101,6,6,1,0,0.53,35.45
SMI_MAR_028,102,6,0,0,0,0.37,39.98
SMI_MAR_028,0,6,0,0,0,1.56,59.29
SMI_MAR_028,1,6,6,1,1,0.6,62.06
SMI_MAR_028,2,6,6,1,2,0.85,65.07
SMI_MAR_028,3,6,6,1,3,1.5,68.74
SMI_MAR_028,4,6,6,1,4,1.54,72.46
SMI_MAR_028,5,6,6,1,5,0.97,75.59
SMI_MAR_028,6,6,6,1,6,1.5,79.27
SMI_MAR_028,7,5,6,0,6,0.83,82.28
SMI_MAR_028,8,0,0,1,7,0.42,84.87
SMI_MAR_028,9,0,6,0,7,1.43,88.5
SMI_MAR_028,10,0,6,0,7,0.43,91.1
SMI_MAR_028,11,6,6,1,8,0.51,93.78
SMI_MAR_028,12,0,0,1,9,0.41,96.38
SMI_MAR_028,13,0,6,0,9,0.57,99.11
SMI_MAR_028,14,6,6,1,10,0.69,101.96
SMI_MAR_028,15,0,6,0,10,0.79,104.93
SMI_MAR_028,16,0,6,0,10,0.31,107.4
SMI_MAR_028,17,6,6,1,11,0.81,110.36
SMI_MAR_028,18,0,6,0,11,0.94,113.46
SMI_MAR_028,19,0,0,1,12,0.46,116.12
SMI_MAR_028,20,6,6,1,13,0.45,118.73
SMI_MAR_028,21,6,6,1,14,0.35,121.25
SMI_MAR_028,22,6,6,1,15,0.58,124.01
SMI_MAR_028,23,6,6,1,16,0.58,126.78
SMI_MAR_028,24,0,0,1,17,0.34,129.29
SMI_MAR_028,25,6,6,1,18,0.35,131.81
SMI_MAR_028,26,0,0,1,19,0.28,134.29
SMI_MAR_028,27,6,6,1,20,0.28,136.75
SMI_MAR_028,28,6,6,1,21,0.82,139.76
SMI_MAR_028,29,6,6,1,22,0.25,142.18
SMI_MAR_028,30,0,6,0,22,0.25,144.62
SMI_MAR_028,31,0,0,1,23,0.37,147.17
SMI_MAR_028,32,0,6,0,23,1.43,150.78
SMI_MAR_028,33,0,0,1,24,0.28,153.24
SMI_MAR_028,34,0,0,1,25,0.29,155.69
SMI_MAR_028,35,6,6,1,26,0.25,158.15
SMI_MAR_028,36,6,6,1,27,0.42,160.76
SMI_MAR_028,37,0,0,1,28,0.34,163.3
SMI_MAR_028,38,0,0,1,29,0.27,165.75
SMI_MAR_028,39,6,6,1,30,0.35,168.29
SMI_MAR_028,40,0,0,1,31,0.24,170.71
SMI_MAR_028,41,6,0,0,31,0.27,173.16
SMI_MAR_028,42,6,6,1,32,0.86,176.2
SMI_MAR_028,43,6,6,1,33,0.34,178.71
SMI_MAR_028,44,6,6,1,34,0.25,181.12
SMI_MAR_028,45,6,6,1,35,0.34,183.63
SMI_MAR_028,46,6,6,1,36,0.24,186.04
SMI_MAR_028,47,6,6,1,37,1.38,189.58
SMI_MAR_028,48,0,0,1,38,0.25,192.0
SMI_MAR_028,49,0,0,1,39,0.32,194.49
SMI_MAR_028,50,0,0,1,40,0.55,197.22
SMI_MAR_028,51,6,6,1,41,0.28,199.66
SMI_MAR_028,52,6,6,1,42,0.33,202.15
SMI_MAR_028,53,6,6,1,43,0.22,204.52
SMI_MAR_028,54,6,6,1,44,0.5,207.21
SMI_MAR_028,55,6,6,1,45,0.39,209.76
SMI_MAR_028,56,6,6,1,46,0.28,212.22
SMI_MAR_028,57,6,6,1,47,0.32,214.74
SMI_MAR_028,58,6,6,1,48,0.21,217.14
SMI_MAR_028,59,6,6,1,49,0.23,219.54
SMI_MAR_028,60,6,6,1,50,0.26,222.0
SMI_MAR_028,61,6,6,1,51,0.24,224.39
SMI_MAR_028,62,6,6,1,52,0.16,226.71
SMI_MAR_028,63,6,6,1,53,0.91,229.8
SMI_MAR_028,64,6,6,1,54,0.4,232.37
SMI_MAR_028,65,6,6,1,55,0.38,234.94
SMI_MAR_028,66,6,6,1,56,0.88,238.0
SMI_MAR_028,67,0,0,1,57,0.32,240.49
SMI_MAR_028,68,0,0,1,58,0.25,242.91
SMI_MAR_028,69,6,6,1,59,0.22,245.32
SMI_MAR_028,70,6,6,1,60,2.65,250.15
SMI_MAR_028,71,6,6,1,61,0.43,252.77
SMI_MAR_028,72,6,6,1,62,0.43,255.37
SMI_MAR_028,73,0,0,1,63,0.3,257.84
SMI_MAR_028,74,0,0,1,64,0.31,260.33
SMI_MAR_028,75,6,6,1,65,0.3,262.82
SMI_MAR_028,76,6,6,1,66,0.27,265.28
SMI_MAR_028,77,6,6,1,67,0.27,267.72
SMI_MAR_028,78,6,6,1,68,0.28,270.19
SMI_MAR_028,79,6,6,1,69,0.43,272.79
SMI_MAR_028,80,6,6,1,70,0.15,275.14
SMI_MAR_028,81,0,0,1,71,0.32,277.64
SMI_MAR_028,82,6,6,1,72,0.94,280.76
SMI_MAR_028,83,0,6,0,72,1.73,284.67
SMI_MAR_028,84,0,0,1,73,0.51,287.35
SMI_MAR_028,85,6,6,1,74,0.32,289.84
SMI_MAR_028,86,6,6,1,75,3.08,295.1
SMI_MAR_028,87,6,6,1,76,1.04,298.33
SMI_MAR_028,88,6,6,1,77,0.28,300.77
SMI_MAR_028,89,6,6,1,78,0.31,303.27
SMI_MAR_028,90,0,0,1,79,0.35,305.79
SMI_MAR_028,91,6,6,1,80,0.24,308.2
SMI_MAR_028,92,6,6,1,81,0.31,310.7
SMI_MAR_028,93,6,6,1,82,0.35,313.24
SMI_MAR_028,94,6,6,1,83,0.37,315.8
SMI_MAR_028,95,6,6,1,84,1.13,319.08
SMI_MAR_028,96,6,6,1,85,0.5,321.74
SMI_MAR_028,97,0,0,1,86,0.33,324.25
SMI_MAR_028,98,0,0,1,87,0.27,326.69
SMI_MAR_028,99,6,6,1,88,0.23,329.08
