id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
SMI_PAU_068,100,29,45,29,29,1,common,0,4.32,104.2
SMI_PAU_068,101,52,66,52,52,1,common,0,2.24,111.19
SMI_PAU_068,102,44,53,44,44,1,common,0,1.16,117.11
SMI_PAU_068,0,24,44,24,24,1,common,1,2.44,136.35
SMI_PAU_068,1,23,29,23,23,1,common,2,2.05,141.16
SMI_PAU_068,2,12,27,12,12,1,common,3,1.84,145.7
SMI_PAU_068,3,74,65,74,65,0,common,3,1.89,150.37
SMI_PAU_068,4,90,75,90,75,0,common,3,1.15,154.3
SMI_PAU_068,5,12,18,12,12,1,common,4,0.68,157.73
SMI_PAU_068,6,16,9,9,9,1,common,5,0.85,161.3
SMI_PAU_068,7,25,40,40,40,1,common,6,1.9,165.94
SMI_PAU_068,8,75,60,75,60,0,common,6,1.36,170.07
SMI_PAU_068,9,43,25,25,25,1,common,7,1.3,174.09
SMI_PAU_068,10,26,15,15,15,1,common,8,1.9,178.69
SMI_PAU_068,11,54,71,54,54,1,common,9,1.81,183.24
SMI_PAU_068,12,29,46,29,29,1,common,10,1.54,187.48
SMI_PAU_068,13,33,53,33,33,1,common,11,2.82,193.04
SMI_PAU_068,14,52,38,38,38,1,common,12,2.06,197.84
SMI_PAU_068,15,24,44,24,24,1,common,13,1.43,202.03
SMI_PAU_068,16,13,12,12,12,1,common,14,1.47,206.23
SMI_PAU_068,17,58,64,64,58,0,common,14,1.88,210.87
SMI_PAU_068,18,13,31,13,13,1,common,15,1.01,214.62
SMI_PAU_068,19,88,98,88,88,1,common,16,2.81,220.19
SMI_PAU_068,20,31,43,31,31,1,common,17,1.54,224.51
SMI_PAU_068,21,36,25,25,25,1,common,18,1.79,229.0
SMI_PAU_068,22,42,29,29,29,1,common,19,1.65,233.37
SMI_PAU_068,23,20,32,20,20,1,common,20,1.4,237.48
SMI_PAU_068,24,36,19,36,36,1,common,21,1.64,241.87
SMI_PAU_068,25,48,36,36,36,1,common,22,1.77,246.4
SMI_PAU_068,26,13,33,13,13,1,common,23,1.18,250.31
SMI_PAU_068,27,35,45,35,35,1,common,24,2.23,255.3
SMI_PAU_068,28,24,35,24,24,1,common,25,2.16,260.14
SMI_PAU_068,29,28,45,28,28,1,common,26,1.12,264.02
SMI_PAU_068,30,13,30,13,13,1,common,27,0.86,267.6
SMI_PAU_068,31,36,17,36,36,1,common,28,3.65,273.98
SMI_PAU_068,32,74,62,62,62,1,common,29,2.71,279.46
SMI_PAU_068,33,26,31,31,26,0,common,29,2.09,284.31
SMI_PAU_068,34,28,38,38,28,0,common,29,3.93,290.98
SMI_PAU_068,35,72,81,81,72,0,common,29,4.61,298.38
SMI_PAU_068,36,21,16,16,16,1,common,30,1.87,302.99
SMI_PAU_068,37,36,21,36,36,1,common,31,2.13,307.82
SMI_PAU_068,38,16,36,16,16,1,common,32,3.52,314.07
SMI_PAU_068,39,16,8,8,8,1,common,33,1.37,318.17
SMI_PAU_068,40,18,12,12,12,1,common,34,0.71,321.61
SMI_PAU_068,41,76,67,76,67,0,common,34,1.21,325.63
SMI_PAU_068,42,92,84,84,84,1,common,35,2.17,330.56
SMI_PAU_068,43,14,34,14,14,1,common,36,1.08,334.41
SMI_PAU_068,44,9,14,9,9,1,common,37,1.03,338.17
SMI_PAU_068,45,103,83,83,83,1,common,38,4.07,345.0
SMI_PAU_068,46,33,23,23,23,1,common,39,1.65,349.38
SMI_PAU_068,47,28,19,28,28,1,common,40,3.33,355.46
SMI_PAU_068,48,30,41,30,30,1,common,41,2.68,360.83
SMI_PAU_068,49,35,53,53,35,0,common,41,4.45,368.03
SMI_PAU_068,50,34,33,34,33,0,pro,41,2.82,373.6
