id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
SMI_PAU_068,100,6,6,1,0,1.48,37.77
SMI_PAU_068,101,6,6,1,0,1.12,43.06
SMI_PAU_068,102,6,0,0,0,0.97,48.2
SMI_PAU_068,0,0,0,1,1,1.0,69.98
SMI_PAU_068,1,6,6,1,2,0.52,72.7
SMI_PAU_068,2,6,6,1,3,0.4,75.3
SMI_PAU_068,3,6,6,1,4,0.38,77.86
SMI_PAU_068,4,6,6,1,5,0.39,80.42
SMI_PAU_068,5,6,6,1,6,0.33,82.95
SMI_PAU_068,6,6,6,1,7,0.31,85.43
SMI_PAU_068,7,6,6,1,8,0.31,87.94
SMI_PAU_068,8,0,0,1,9,0.3,90.43
SMI_PAU_068,9,6,6,1,10,0.29,92.93
SMI_PAU_068,10,6,6,1,11,0.27,95.39
SMI_PAU_068,11,6,6,1,12,0.22,97.82
SMI_PAU_068,12,0,0,1,13,0.32,100.34
SMI_PAU_068,13,6,6,1,14,0.25,102.78
SMI_PAU_068,14,6,6,1,15,0.25,105.21
SMI_PAU_068,15,0,6,0,15,0.2,107.6
SMI_PAU_068,16,6,6,1,16,0.22,110.02
SMI_PAU_068,17,6,6,1,17,0.28,112.47
SMI_PAU_068,18,6,6,1,18,0.23,114.88
SMI_PAU_068,19,0,0,1,19,0.25,117.35
SMI_PAU_068,20,6,6,1,20,0.22,119.76
SMI_PAU_068,21,6,6,1,21,0.24,122.18
SMI_PAU_068,22,6,6,1,22,0.28,124.64
SMI_PAU_068,23,6,6,1,23,0.3,127.11
SMI_PAU_068,24,0,0,1,24,0.32,129.63
SMI_PAU_068,25,6,6,1,25,0.25,132.08
SMI_PAU_068,26,0,0,1,26,0.28,134.55
SMI_PAU_068,27,6,6,1,27,0.29,137.02
SMI_PAU_068,28,6,6,1,28,0.23,139.43
SMI_PAU_068,29,6,6,1,29,0.23,141.86
SMI_PAU_068,30,6,6,1,30,0.14,144.2
SMI_PAU_068,31,0,0,1,31,0.26,146.68
SMI_PAU_068,32,6,6,1,32,0.2,149.06
SMI_PAU_068,33,0,0,1,33,0.25,151.51
SMI_PAU_068,34,0,0,1,34,0.27,153.98
SMI_PAU_068,35,6,6,1,35,0.25,156.43
SMI_PAU_068,36,6,6,1,36,0.36,158.99
SMI_PAU_068,37,0,0,1,37,0.21,161.41
SMI_PAU_068,38,0,0,1,38,0.27,163.85
SMI_PAU_068,39,6,6,1,39,0.2,166.23
SMI_PAU_068,40,0,0,1,40,0.24,168.69
SMI_PAU_068,41,0,0,1,41,0.29,171.19
SMI_PAU_068,42,6,6,1,42,0.23,173.61
SMI_PAU_068,43,6,6,1,43,0.13,175.93
SMI_PAU_068,44,6,6,1,44,0.25,178.35
SMI_PAU_068,45,6,6,1,45,0.19,180.74
SMI_PAU_068,46,6,6,1,46,0.19,183.12
SMI_PAU_068,47,6,6,1,47,0.01,185.33
SMI_PAU_068,48,0,0,1,48,0.24,187.75
SMI_PAU_068,49,0,0,1,49,0.27,190.24
SMI_PAU_068,50,0,0,1,50,0.15,192.6
SMI_PAU_068,51,6,6,1,51,0.23,195.02
SMI_PAU_068,52,6,6,1,52,0.23,197.43
SMI_PAU_068,53,6,6,1,53,0.27,199.88
