id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
TAR_MAR_031,100,29,45,29,29,1,common,0,2.15,52.11
TAR_MAR_031,101,52,66,52,52,1,common,0,1.47,58.31
TAR_MAR_031,102,44,53,53,44,0,common,0,1.29,64.33
TAR_MAR_031,0,24,44,24,24,1,common,1,1.88,84.78
TAR_MAR_031,1,29,23,29,23,0,common,1,2.62,90.14
TAR_MAR_031,2,12,27,12,12,1,common,2,1.43,94.31
TAR_MAR_031,3,74,65,65,65,1,common,3,1.41,98.47
TAR_MAR_031,4,90,75,90,75,0,common,3,1.22,102.46
TAR_MAR_031,5,18,12,12,12,1,common,4,0.61,105.78
TAR_MAR_031,6,9,16,9,9,1,common,5,0.68,109.17
TAR_MAR_031,7,40,25,40,40,1,common,6,1.4,113.29
TAR_MAR_031,8,75,60,75,60,0,common,6,1.76,117.82
TAR_MAR_031,9,25,43,25,25,1,common,7,2.05,122.61
TAR_MAR_031,10,26,15,15,15,1,common,8,1.81,127.11
TAR_MAR_031,11,71,54,54,54,1,common,9,1.46,131.32
TAR_MAR_031,12,29,46,29,29,1,common,10,1.64,135.65
TAR_MAR_031,13,33,53,33,33,1,common,11,2.71,141.07
TAR_MAR_031,14,38,52,38,38,1,common,12,1.98,145.8
TAR_MAR_031,15,24,44,24,24,1,common,13,1.04,149.59
TAR_MAR_031,16,12,13,12,12,1,common,14,0.78,153.07
TAR_MAR_031,17,58,64,58,58,1,common,15,2.88,158.72
TAR_MAR_031,18,31,13,13,13,1,common,16,1.47,162.91
TAR_MAR_031,19,98,88,98,88,0,common,16,0.85,166.54
TAR_MAR_031,20,31,43,31,31,1,common,17,2.5,171.8
TAR_MAR_031,21,25,36,36,25,0,common,17,1.02,175.53
TAR_MAR_031,22,29,42,29,29,1,common,18,1.28,179.53
TAR_MAR_031,23,32,20,20,20,1,common,19,2.5,184.72
TAR_MAR_031,24,19,36,36,36,1,common,20,1.12,188.56
TAR_MAR_031,25,48,36,36,36,1,common,21,1.15,192.47
TAR_MAR_031,26,13,33,13,13,1,common,22,0.96,196.12
TAR_MAR_031,27,45,35,35,35,1,common,23,1.36,200.22
TAR_MAR_031,28,35,24,24,24,1,common,24,1.06,203.99
TAR_MAR_031,29,28,45,28,28,1,common,25,4.39,211.15
TAR_MAR_031,30,30,13,13,13,1,common,26,1.2,215.06
TAR_MAR_031,31,36,17,36,36,1,common,27,1.46,219.25
TAR_MAR_031,32,62,74,74,62,0,common,27,1.02,223.03
TAR_MAR_031,33,26,31,26,26,1,common,28,6.24,232.0
TAR_MAR_031,34,28,38,28,28,1,common,29,1.86,236.62
TAR_MAR_031,35,72,81,72,72,1,common,30,1.14,240.52
TAR_MAR_031,36,16,21,16,16,1,common,31,0.82,244.03
TAR_MAR_031,37,21,36,36,36,1,common,32,1.83,248.59
TAR_MAR_031,38,36,16,16,16,1,common,33,1.36,252.67
TAR_MAR_031,39,16,8,8,8,1,common,34,0.94,256.3
TAR_MAR_031,40,12,18,12,12,1,common,35,0.47,259.48
TAR_MAR_031,41,76,67,67,67,1,common,36,1.16,263.41
TAR_MAR_031,42,92,84,84,84,1,common,37,1.46,267.62
TAR_MAR_031,43,14,34,14,14,1,common,38,1.74,272.09
TAR_MAR_031,44,9,14,9,9,1,common,39,0.52,275.29
