id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
TOU-YOA_011,100,45,29,45,29,0,common,0,5.1,68.52
TOU-YOA_011,101,66,52,52,52,1,common,0,2.09,75.36
TOU-YOA_011,102,53,44,44,44,1,common,0,3.19,83.29
TOU-YOA_011,0,24,44,44,24,0,common,0,2.33,103.76
TOU-YOA_011,1,29,23,23,23,1,common,1,1.14,107.68
TOU-YOA_011,2,12,27,27,12,0,common,1,3.19,113.56
TOU-YOA_011,3,74,65,74,65,0,common,1,1.16,117.48
TOU-YOA_011,4,75,90,90,75,0,common,1,0.74,120.99
TOU-YOA_011,5,12,18,18,12,0,common,1,1.82,125.54
TOU-YOA_011,6,16,9,9,9,1,common,2,0.54,128.8
TOU-YOA_011,7,25,40,40,40,1,common,3,1.18,132.72
TOU-YOA_011,8,60,75,75,60,0,common,3,1.18,136.65
TOU-YOA_011,9,25,43,43,25,0,common,3,1.03,140.45
TOU-YOA_011,10,26,15,15,15,1,common,4,0.98,144.15
TOU-YOA_011,11,71,54,54,54,1,common,5,0.69,147.6
TOU-YOA_011,12,46,29,46,29,0,common,5,0.7,151.03
TOU-YOA_011,13,53,33,53,33,0,common,5,1.51,155.3
TOU-YOA_011,14,38,52,38,38,1,common,6,1.01,159.06
TOU-YOA_011,15,44,24,24,24,1,common,7,0.65,162.46
TOU-YOA_011,16,12,13,13,12,0,common,7,0.86,166.05
TOU-YOA_011,17,58,64,64,58,0,common,7,0.83,169.63
TOU-YOA_011,18,13,31,13,13,1,common,8,0.71,173.06
TOU-YOA_011,19,98,88,98,88,0,common,8,0.74,176.57
TOU-YOA_011,20,43,31,43,31,0,common,8,1.1,180.42
TOU-YOA_011,21,25,36,36,25,0,common,8,0.69,183.84
TOU-YOA_011,22,42,29,42,29,0,common,8,0.81,187.36
TOU-YOA_011,23,32,20,20,20,1,common,9,1.16,191.23
TOU-YOA_011,24,19,36,36,36,1,common,10,0.66,194.63
TOU-YOA_011,25,48,36,36,36,1,common,11,0.87,198.26
TOU-YOA_011,26,13,33,13,13,1,common,12,0.96,201.95
TOU-YOA_011,27,35,45,45,35,0,common,12,0.82,205.52
TOU-YOA_011,28,35,24,35,24,0,common,12,0.73,208.97
TOU-YOA_011,29,28,45,45,28,0,common,12,0.71,212.43
TOU-YOA_011,30,13,30,13,13,1,common,13,0.58,215.76
TOU-YOA_011,31,36,17,36,36,1,common,14,0.8,219.31
TOU-YOA_011,32,74,62,74,62,0,common,14,0.75,222.82
TOU-YOA_011,33,31,26,31,26,0,common,14,0.66,226.2
TOU-YOA_011,34,38,28,28,28,1,common,15,0.74,229.71
TOU-YOA_011,35,81,72,81,72,0,common,15,0.27,232.76
TOU-YOA_011,36,16,21,21,16,0,common,15,1.07,236.56
TOU-YOA_011,37,36,21,21,36,0,common,15,0.53,239.85
TOU-YOA_011,38,16,36,36,16,0,common,15,0.62,243.19
TOU-YOA_011,39,16,8,8,8,1,common,16,0.76,246.66
TOU-YOA_011,40,12,18,12,12,1,common,17,0.87,250.28
TOU-YOA_011,41,76,67,67,67,1,common,18,0.92,253.98
TOU-YOA_011,42,84,92,92,84,0,common,18,0.61,257.35
TOU-YOA_011,43,14,34,14,14,1,common,19,0.63,260.75
TOU-YOA_011,44,9,14,9,9,1,common,20,0.62,264.1
TOU-YOA_011,45,103,83,103,83,0,common,20,0.53,267.39
TOU-YOA_011,46,33,23,33,23,0,common,20,0.46,270.56
TOU-YOA_011,47,28,19,28,28,1,common,21,0.54,273.84
TOU-YOA_011,48,30,41,30,30,1,common,22,0.5,277.05
TOU-YOA_011,49,53,35,53,35,0,common,22,0.6,280.41
TOU-YOA_011,50,33,34,34,33,0,common,22,0.54,283.68
TOU-YOA_011,51,81,86,81,81,1,common,23,0.61,287.06
TOU-YOA_011,52,52,33,33,33,1,common,24,0.55,290.34
TOU-YOA_011,53,44,30,44,30,0,common,24,0.7,293.79
TOU-YOA_011,54,35,30,35,30,0,common,24,0.49,297.01
TOU-YOA_011,55,52,20,52,52,1,common,25,0.71,300.47
TOU-YOA_011,56,52,31,52,52,1,common,26,0.51,303.71
TOU-YOA_011,57,32,24,24,24,1,common,27,0.53,306.98
TOU-YOA_011,58,35,60,60,60,1,common,28,3.57,313.31
TOU-YOA_011,59,27,32,32,32,1,common,29,0.7,316.76
TOU-YOA_011,60,31,20,20,20,1,common,30,0.66,320.15
TOU-YOA_011,61,29,23,23,23,1,common,31,0.52,323.43
TOU-YOA_011,62,24,14,24,24,1,common,32,0.31,326.47
TOU-YOA_011,63,32,51,51,32,0,common,32,0.39,329.61
TOU-YOA_011,64,30,11,11,11,1,common,33,0.4,332.72
TOU-YOA_011,65,53,72,72,53,0,common,33,0.32,335.81
TOU-YOA_011,66,51,41,41,41,1,common,34,0.99,339.57
TOU-YOA_011,67,42,26,26,26,1,common,35,0.41,342.72
TOU-YOA_011,68,23,48,48,48,1,common,36,0.7,346.18
TOU-YOA_011,69,56,30,56,56,1,common,37,0.32,349.25
TOU-YOA_011,70,62,43,43,43,1,common,38,0.16,352.17
TOU-YOA_011,71,50,44,44,44,1,common,39,0.2,355.16
TOU-YOA_011,72,14,20,14,20,0,common,39,0.27,358.18
TOU-YOA_011,73,26,32,32,26,0,common,39,0.18,361.07
TOU-YOA_011,74,19,39,39,19,0,common,39,0.39,364.2
TOU-YOA_011,75,14,24,14,24,0,common,39,0.42,367.36
TOU-YOA_011,76,70,55,55,55,1,common,40,0.39,370.5
TOU-YOA_011,77,15,6,6,6,1,common,41,0.42,373.65
TOU-YOA_011,78,44,31,31,31,1,common,42,0.81,377.18
TOU-YOA_011,79,60,28,60,60,1,common,43,1.01,380.92
TOU-YOA_011,80,20,31,31,20,0,common,43,0.87,384.51
TOU-YOA_011,81,36,23,36,36,1,common,44,0.97,388.27
TOU-YOA_011,82,63,80,63,63,1,common,45,0.47,391.53
TOU-YOA_011,83,8,28,8,8,1,common,46,0.65,394.91
TOU-YOA_011,84,32,21,32,32,1,common,47,1.05,398.68
TOU-YOA_011,85,29,41,29,29,1,common,48,0.47,401.86
TOU-YOA_011,86,22,40,22,40,0,common,48,0.44,405.07
TOU-YOA_011,87,14,27,14,14,1,common,49,0.49,408.32
TOU-YOA_011,88,48,32,32,48,0,common,49,0.31,411.37
TOU-YOA_011,89,29,42,42,29,0,common,49,0.36,414.47
TOU-YOA_011,90,81,92,92,81,0,common,49,0.62,417.86
TOU-YOA_011,91,22,20,20,20,1,common,50,0.99,421.6
TOU-YOA_011,92,45,32,32,32,1,common,51,0.87,425.24
TOU-YOA_011,93,49,33,33,33,1,common,52,1.55,429.55
TOU-YOA_011,94,41,58,58,41,0,common,52,0.56,432.88
TOU-YOA_011,95,36,22,22,36,0,common,52,0.6,436.23
TOU-YOA_011,96,83,77,77,77,1,common,53,0.41,439.42
TOU-YOA_011,97,68,62,62,62,1,common,54,0.52,442.71
TOU-YOA_011,98,17,22,22,17,0,common,54,0.89,446.31
TOU-YOA_011,99,29,18,18,18,1,common,55,4.32,453.35
