id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
TOU-YOA_011,100,6,6,1,0,1.3,32.85
TOU-YOA_011,101,6,6,1,0,0.53,37.55
TOU-YOA_011,102,6,0,0,0,0.49,42.21
TOU-YOA_011,0,0,0,1,1,0.55,61.47
TOU-YOA_011,1,6,6,1,2,0.41,64.07
TOU-YOA_011,2,6,6,1,3,0.3,66.54
TOU-YOA_011,3,6,6,1,4,0.21,68.93
TOU-YOA_011,4,0,6,0,4,0.27,71.39
TOU-YOA_011,5,6,6,1,5,0.5,74.07
TOU-YOA_011,6,0,6,0,5,0.28,76.51
TOU-YOA_011,7,0,6,0,5,0.25,78.95
TOU-YOA_011,8,0,0,1,6,0.22,81.37
TOU-YOA_011,9,0,6,0,6,0.11,83.68
TOU-YOA_011,10,6,6,1,7,0.22,86.09
TOU-YOA_011,11,0,6,0,7,0.17,88.44
TOU-YOA_011,12,0,0,1,8,0.08,90.72
TOU-YOA_011,13,6,6,1,9,0.14,93.04
TOU-YOA_011,14,6,6,1,10,0.32,95.54
TOU-YOA_011,15,6,6,1,11,0.22,97.95
TOU-YOA_011,16,6,6,1,12,0.39,100.55
TOU-YOA_011,17,0,6,0,12,0.31,103.03
TOU-YOA_011,18,0,6,0,12,0.36,105.56
TOU-YOA_011,19,0,0,1,13,0.36,108.11
TOU-YOA_011,20,0,6,0,13,0.24,110.53
TOU-YOA_011,21,6,6,1,14,0.17,112.87
TOU-YOA_011,22,6,6,1,15,0.33,115.4
TOU-YOA_011,23,0,6,0,15,0.22,117.82
TOU-YOA_011,24,0,0,1,16,0.2,120.22
TOU-YOA_011,25,6,6,1,17,0.24,122.66
TOU-YOA_011,26,0,0,1,18,0.1,124.95
TOU-YOA_011,27,0,6,0,18,0.15,127.29
TOU-YOA_011,28,6,6,1,19,0.14,129.61
TOU-YOA_011,29,6,6,1,20,0.83,132.62
TOU-YOA_011,30,0,6,0,20,0.14,134.96
TOU-YOA_011,31,0,0,1,21,0.02,137.18
TOU-YOA_011,32,6,6,1,22,0.12,139.47
TOU-YOA_011,33,0,0,1,23,0.21,141.86
TOU-YOA_011,34,0,0,1,24,0.03,144.08
TOU-YOA_011,35,6,6,1,25,0.11,146.37
TOU-YOA_011,36,0,6,0,25,0.08,148.64
TOU-YOA_011,37,6,0,0,25,0.55,151.39
TOU-YOA_011,38,6,0,0,25,0.18,153.77
TOU-YOA_011,39,6,6,1,26,0.37,156.34
TOU-YOA_011,40,6,0,0,26,0.22,158.76
TOU-YOA_011,41,6,0,0,26,0.42,161.39
TOU-YOA_011,42,6,6,1,27,0.22,163.79
TOU-YOA_011,43,6,6,1,28,0.15,166.14
TOU-YOA_011,44,0,6,0,28,0.3,168.62
TOU-YOA_011,45,6,6,1,29,0.12,170.92
TOU-YOA_011,46,6,6,1,30,0.42,173.54
TOU-YOA_011,47,6,6,1,31,0.42,176.15
TOU-YOA_011,48,0,0,1,32,0.21,178.56
TOU-YOA_011,49,0,0,1,33,0.53,181.3
TOU-YOA_011,50,0,0,1,34,0.16,183.68
TOU-YOA_011,51,6,6,1,35,0.27,186.16
TOU-YOA_011,52,6,6,1,36,0.16,188.5
TOU-YOA_011,53,0,6,0,36,0.4,191.09
TOU-YOA_011,54,6,6,1,37,0.43,193.7
TOU-YOA_011,55,6,6,1,38,0.4,196.29
TOU-YOA_011,56,6,6,1,39,0.02,198.51
TOU-YOA_011,57,6,6,1,40,0.75,201.44
TOU-YOA_011,58,6,6,1,41,0.71,204.35
TOU-YOA_011,59,6,6,1,42,1.13,207.65
TOU-YOA_011,60,0,6,0,42,0.24,210.09
TOU-YOA_011,61,6,6,1,43,0.02,212.31
TOU-YOA_011,62,6,6,1,44,0.99,215.45
TOU-YOA_011,63,6,6,1,45,0.18,217.8
TOU-YOA_011,64,6,6,1,46,0.23,220.22
TOU-YOA_011,65,0,6,0,46,0.28,222.68
TOU-YOA_011,66,6,6,1,47,0.28,225.16
TOU-YOA_011,67,0,0,1,48,0.12,227.47
TOU-YOA_011,68,0,0,1,49,0.01,229.68
TOU-YOA_011,69,6,6,1,50,0.19,232.03
TOU-YOA_011,70,6,6,1,51,0.66,234.9
TOU-YOA_011,71,6,6,1,52,0.17,237.26
TOU-YOA_011,72,6,6,1,53,0.1,239.56
TOU-YOA_011,73,0,0,1,54,0.28,242.04
TOU-YOA_011,74,0,0,1,55,0.3,244.51
TOU-YOA_011,75,0,6,0,55,0.84,247.53
TOU-YOA_011,76,0,6,0,55,3.32,253.04
TOU-YOA_011,77,6,6,1,56,1.03,256.26
TOU-YOA_011,78,6,6,1,57,0.37,258.81
TOU-YOA_011,79,6,6,1,58,2.28,263.27
TOU-YOA_011,80,6,6,1,59,1.26,266.71
TOU-YOA_011,81,6,0,0,59,4.06,272.94
TOU-YOA_011,82,6,6,1,60,0.39,275.51
TOU-YOA_011,83,6,6,1,61,0.41,278.1
TOU-YOA_011,84,0,0,1,62,2.84,283.14
TOU-YOA_011,85,6,6,1,63,0.42,285.76
TOU-YOA_011,86,6,6,1,64,0.33,288.27
TOU-YOA_011,87,0,6,0,64,0.3,290.77
TOU-YOA_011,88,0,6,0,64,0.08,293.03
TOU-YOA_011,89,0,6,0,64,0.23,295.42
TOU-YOA_011,90,0,0,1,65,0.37,297.99
TOU-YOA_011,91,0,6,0,65,0.24,300.41
TOU-YOA_011,92,0,6,0,65,0.42,303.02
TOU-YOA_011,93,0,6,0,65,0.61,305.83
TOU-YOA_011,94,0,6,0,65,0.25,308.29
TOU-YOA_011,95,0,6,0,65,0.94,311.44
TOU-YOA_011,96,6,6,1,66,0.85,314.48
TOU-YOA_011,97,6,0,0,66,0.16,316.83
TOU-YOA_011,98,6,0,0,66,0.17,319.2
TOU-YOA_011,99,6,6,1,67,1.49,322.86
