id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
SAN_VAU_002,100,6,6,1,0,1.73,45.41
SAN_VAU_002,101,0,6,0,0,4.07,53.65
SAN_VAU_002,102,6,0,0,0,3.31,61.16
SAN_VAU_002,0,0,0,1,1,0.47,81.84
SAN_VAU_002,1,0,6,0,1,1.7,85.74
SAN_VAU_002,2,6,6,1,2,0.54,88.49
SAN_VAU_002,3,6,6,1,3,0.95,91.64
SAN_VAU_002,4,6,6,1,4,2.3,96.16
SAN_VAU_002,5,0,6,0,4,2.94,101.3
SAN_VAU_002,6,0,6,0,4,2.06,105.57
SAN_VAU_002,7,6,6,1,5,0.04,107.84
SAN_VAU_002,8,0,0,1,6,0.88,110.95
SAN_VAU_002,9,0,6,0,6,0.92,114.08
SAN_VAU_002,10,6,6,1,7,0.27,116.55
SAN_VAU_002,11,6,6,1,8,0.21,118.94
SAN_VAU_002,12,0,0,1,9,0.91,122.05
SAN_VAU_002,13,6,6,1,10,2.9,127.18
SAN_VAU_002,14,6,6,1,11,0.96,130.34
SAN_VAU_002,15,6,6,1,12,1.3,133.86
SAN_VAU_002,16,6,6,1,13,0.65,136.73
SAN_VAU_002,17,6,6,1,14,1.03,139.96
SAN_VAU_002,18,6,6,1,15,0.44,142.61
SAN_VAU_002,19,0,0,1,16,0.41,145.24
SAN_VAU_002,20,6,6,1,17,0.64,148.09
SAN_VAU_002,21,6,6,1,18,0.24,150.55
SAN_VAU_002,22,6,6,1,19,1.59,154.34
SAN_VAU_002,23,0,6,0,19,0.51,157.06
SAN_VAU_002,24,0,0,1,20,0.39,159.67
SAN_VAU_002,25,6,6,1,21,0.58,162.44
SAN_VAU_002,26,0,0,1,22,0.34,165.0
SAN_VAU_002,27,6,6,1,23,0.33,167.54
SAN_VAU_002,28,6,6,1,24,0.4,170.15
SAN_VAU_002,29,6,6,1,25,0.34,172.7
SAN_VAU_002,30,6,6,1,26,1.59,176.5
SAN_VAU_002,31,0,0,1,27,0.77,179.49
SAN_VAU_002,32,6,6,1,28,0.48,182.17
SAN_VAU_002,33,0,0,1,29,0.29,184.67
SAN_VAU_002,34,0,0,1,30,0.32,187.22
SAN_VAU_002,35,6,6,1,31,0.97,190.41
SAN_VAU_002,36,0,6,0,31,1.16,193.78
SAN_VAU_002,37,6,0,0,31,0.69,196.68
SAN_VAU_002,38,0,0,1,32,0.27,199.15
SAN_VAU_002,39,6,6,1,33,0.4,201.78
SAN_VAU_002,40,0,0,1,34,1.24,205.24
SAN_VAU_002,41,0,0,1,35,0.49,207.95
SAN_VAU_002,42,6,6,1,36,0.43,210.59
SAN_VAU_002,43,6,6,1,37,2.01,214.82
SAN_VAU_002,44,6,6,1,38,0.36,217.41
SAN_VAU_002,45,6,6,1,39,2.04,221.66
SAN_VAU_002,46,6,6,1,40,1.21,225.09
SAN_VAU_002,47,6,6,1,41,0.48,227.78
SAN_VAU_002,48,0,0,1,42,1.23,231.21
SAN_VAU_002,49,0,0,1,43,1.24,234.65
SAN_VAU_002,50,0,0,1,44,0.92,237.8
SAN_VAU_002,51,6,6,1,45,1.95,241.95
SAN_VAU_002,52,6,6,1,46,0.93,245.09
SAN_VAU_002,53,6,6,1,47,1.37,248.67
SAN_VAU_002,54,6,6,1,48,1.01,251.9
SAN_VAU_002,55,6,6,1,49,1.1,255.22
SAN_VAU_002,56,6,6,1,50,0.33,257.76
SAN_VAU_002,57,6,6,1,51,2.38,262.35
SAN_VAU_002,58,6,6,1,52,0.66,265.23
SAN_VAU_002,59,6,6,1,53,0.03,267.48
SAN_VAU_002,60,6,6,1,54,0.9,270.58
SAN_VAU_002,61,6,6,1,55,0.39,273.19
SAN_VAU_002,62,6,6,1,56,0.41,275.82
SAN_VAU_002,63,6,6,1,57,0.96,278.99
SAN_VAU_002,64,6,6,1,58,0.18,281.39
SAN_VAU_002,65,6,6,1,59,0.57,284.19
SAN_VAU_002,66,6,6,1,60,0.83,287.23
SAN_VAU_002,67,0,0,1,61,1.22,290.67
SAN_VAU_002,68,0,0,1,62,1.28,294.17
SAN_VAU_002,69,6,6,1,63,0.32,296.68
SAN_VAU_002,70,6,6,1,64,0.91,299.83
SAN_VAU_002,71,0,6,0,64,1.65,303.68
SAN_VAU_002,72,6,6,1,65,0.26,306.16
SAN_VAU_002,73,0,0,1,66,0.43,308.82
SAN_VAU_002,74,0,0,1,67,0.33,311.38
SAN_VAU_002,75,6,6,1,68,0.93,314.52
SAN_VAU_002,76,6,6,1,69,0.33,317.08
SAN_VAU_002,77,6,6,1,70,0.32,319.6
SAN_VAU_002,78,6,6,1,71,0.32,322.15
SAN_VAU_002,79,6,6,1,72,0.98,325.33
SAN_VAU_002,80,6,6,1,73,0.79,328.34
SAN_VAU_002,81,0,0,1,74,0.44,331.0
SAN_VAU_002,82,6,6,1,75,1.25,334.47
SAN_VAU_002,83,0,6,0,75,0.53,337.22
SAN_VAU_002,84,0,0,1,76,0.31,339.77
SAN_VAU_002,85,6,6,1,77,0.51,342.51
SAN_VAU_002,86,6,6,1,78,1.33,346.06
SAN_VAU_002,87,6,6,1,79,1.99,350.25
SAN_VAU_002,88,6,6,1,80,0.34,352.83
SAN_VAU_002,89,6,6,1,81,0.53,355.57
SAN_VAU_002,90,0,0,1,82,0.74,358.52
SAN_VAU_002,91,6,6,1,83,0.38,361.11
SAN_VAU_002,92,6,6,1,84,0.7,364.05
SAN_VAU_002,93,6,6,1,85,1.34,367.62
SAN_VAU_002,94,6,6,1,86,0.44,370.27
SAN_VAU_002,95,6,6,1,87,0.66,373.17
SAN_VAU_002,96,6,6,1,88,0.08,375.45
SAN_VAU_002,97,0,0,1,89,0.42,378.08
SAN_VAU_002,98,0,0,1,90,0.35,380.65
SAN_VAU_002,99,6,6,1,91,1.01,383.87
