id_candidate,no_trial,left_ans,right_ans,ans_candidate,good_ans,result,group,score,reaction_time,time_stamp
ZIC_NAD_040,100,29,45,29,29,1,common,0,3.77,44.66
ZIC_NAD_040,101,66,52,52,52,1,common,0,11.28,60.7
ZIC_NAD_040,102,53,44,44,44,1,common,0,1.88,67.36
ZIC_NAD_040,0,44,24,24,24,1,common,1,1.87,88.32
ZIC_NAD_040,1,29,23,23,23,1,common,2,1.84,92.92
ZIC_NAD_040,2,12,27,12,12,1,common,3,2.44,98.1
ZIC_NAD_040,3,74,65,65,65,1,common,4,2.28,103.17
ZIC_NAD_040,4,75,90,75,75,1,common,5,3.0,108.93
ZIC_NAD_040,5,18,12,18,12,0,common,5,4.27,115.96
ZIC_NAD_040,6,9,16,9,9,1,common,6,0.99,119.69
ZIC_NAD_040,7,25,40,40,40,1,common,7,1.86,124.29
ZIC_NAD_040,8,60,75,60,60,1,common,8,2.48,129.52
ZIC_NAD_040,9,43,25,25,25,1,common,9,1.5,133.78
ZIC_NAD_040,10,15,26,15,15,1,common,10,2.26,138.74
ZIC_NAD_040,11,54,71,54,54,1,common,11,2.04,143.55
ZIC_NAD_040,12,29,46,29,29,1,common,12,1.69,147.98
ZIC_NAD_040,13,53,33,33,33,1,common,13,1.87,152.61
ZIC_NAD_040,14,38,52,38,38,1,common,14,6.4,161.76
ZIC_NAD_040,15,44,24,24,24,1,common,15,2.82,167.32
ZIC_NAD_040,16,13,12,13,12,0,common,15,6.47,176.5
ZIC_NAD_040,17,58,64,58,58,1,common,16,1.95,181.2
ZIC_NAD_040,18,31,13,13,13,1,common,17,1.94,185.85
ZIC_NAD_040,19,98,88,88,88,1,common,18,3.23,191.84
ZIC_NAD_040,20,43,31,31,31,1,common,19,2.54,197.12
ZIC_NAD_040,21,36,25,25,25,1,common,20,2.96,202.86
ZIC_NAD_040,22,29,42,42,29,0,common,20,2.57,208.15
ZIC_NAD_040,23,32,20,32,20,0,common,20,2.71,213.59
